scene_id,scene_role,signal_type,sampling_rate_hz,raw_path,raw_storage_mode,gnss_sdr_status,tracking_exists,tracking_file_count,tracking_dat_count,tracking_mat_count,tracking_channels,tracking_channel_prn_map,telemetry_exists,telemetry_file_count,telemetry_dat_count,telemetry_mat_count,telemetry_crc_count,telemetry_channels,observables_exists,observables_file_count,rinex_nav_exists,rinex_nav_file_count,rinex_nav_files,trajectory_exists,trajectory_file_count,trajectory_files,satellite_geometry_status,satellite_geometry_completed,satellite_geometry_file_count,satellite_geometry_prns,available_prn_count,available_prns,prn_tracking_channel_map,sage_results_status,sage_results_exists,sage_result_file_count,inventory_warnings
F1023_V120_D0121_P2,standard_scene,GPS_L1_CA,10230000,E:\AAGNSSSDR_input\raw_data\F1023_V120_D0121_P2.bin,external_storage,SUCCESS,true,24,12,12,ch0;ch1;ch2;ch3;ch4;ch5;ch6;ch7;ch8;ch9;ch10;ch11,"{""ch0"":[""G05"",""G06"",""G11"",""G19""],""ch1"":[""G03"",""G11"",""G14"",""G19"",""G22"",""G24"",""G29""],""ch10"":[""G03"",""G04"",""G19"",""G21"",""G24"",""G27"",""G29""],""ch11"":[""G12""],""ch2"":[""G03"",""G05"",""G18"",""G24"",""G27""],""ch3"":[""G03"",""G19"",""G29""],""ch4"":[""G03"",""G04"",""G05"",""G11"",""G14"",""G19"",""G23"",""G30""],""ch5"":[""G25""],""ch6"":[""G28""],""ch7"":[""G32""],""ch8"":[""G07"",""G08"",""G09"",""G11"",""G19"",""G21"",""G24""],""ch9"":[""G06"",""G24""]}",true,32,10,10,12,ch0;ch1;ch2;ch3;ch5;ch6;ch7;ch9;ch10;ch11,true,2,true,1,navigation/rinex_nav/RINEXFILE.26N,true,1,trajectory/F1023_V120_D0121_P2_trajectory.nmea,completed,true,2,G06;G11;G12;G24;G25;G28;G29;G32,10,G03;G06;G11;G12;G19;G24;G25;G28;G29;G32,"{""G03"":[2],""G06"":[6,9],""G11"":[0],""G12"":[5,11],""G19"":[0,1,3],""G24"":[2],""G25"":[5],""G28"":[6],""G29"":[3,10],""G32"":[7]}",not_run,false,0,nav_mapping_without_tracking_start:G06:ch6;nav_mapping_without_tracking_start:G12:ch5
F1023_v50_D0127_P1,standard_scene,GPS_L1_CA,10230000,E:\AAGNSSSDR_input\raw_data\F1023_v50_D0127_P1.bin,external_storage,SUCCESS,true,24,12,12,ch0;ch1;ch2;ch3;ch4;ch5;ch6;ch7;ch8;ch9;ch10;ch11,"{""ch0"":[""G25""],""ch1"":[""G19"",""G26""],""ch10"":[""G11"",""G32""],""ch11"":[""G22""],""ch2"":[""G05"",""G11"",""G32""],""ch3"":[""G12"",""G18"",""G27""],""ch4"":[""G28""],""ch5"":[""G31""],""ch6"":[""G12"",""G18"",""G31""],""ch7"":[""G12"",""G32""],""ch8"":[""G22"",""G26""],""ch9"":[""G29""]}",true,22,5,5,12,ch0;ch4;ch5;ch9;ch10,true,2,true,1,navigation/rinex_nav/RINEXFILE.26N,true,1,trajectory/F1023_v50_D0127_P1_trajectory.nmea,completed,true,2,G11;G25;G28;G29;G31,5,G11;G25;G28;G29;G31,"{""G11"":[10],""G25"":[0],""G28"":[4],""G29"":[9],""G31"":[5]}",not_run,false,0,
F1023_V70_D0117_P2,reference_scene,GPS_L1_CA,10230000,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\raw\F1023_V70_D0117_P2.bin,scene_local,SUCCESS,true,24,12,12,ch0;ch1;ch2;ch3;ch4;ch5;ch6;ch7;ch8;ch9;ch10;ch11,"{""ch0"":[""G25""],""ch1"":[""G28""],""ch11"":[""G32""],""ch2"":[""G24""],""ch3"":[""G21"",""G23""],""ch4"":[""G06""],""ch5"":[""G11""],""ch6"":[""G12""],""ch7"":[""G29""],""ch8"":[""G26""],""ch9"":[""G16"",""G17"",""G31""]}",true,26,7,7,12,ch0;ch1;ch4;ch5;ch6;ch7;ch11,true,2,true,1,navigation/rinex_nav/RINEXFILE.26N,true,1,trajectory/F1023_V70_D0117_P2_trajectory.nmea,completed,true,2,G06;G11;G12;G25;G28;G29;G32,7,G06;G11;G12;G25;G28;G29;G32,"{""G06"":[4],""G11"":[5],""G12"":[6],""G25"":[0],""G28"":[1],""G29"":[7],""G32"":[11]}",completed,true,32,
F1023_V70_D0117_P4,standard_scene,GPS_L1_CA,10230000,E:\AAGNSSSDR_input\raw_data\F1023_V70_D0117_P4.bin,external_storage,SUCCESS,true,24,12,12,ch0;ch1;ch2;ch3;ch4;ch5;ch6;ch7;ch8;ch9;ch10;ch11,"{""ch0"":[""G03"",""G06""],""ch1"":[""G31""],""ch11"":[""G26"",""G27""],""ch2"":[""G11""],""ch3"":[""G32""],""ch4"":[""G12""],""ch5"":[""G24""],""ch6"":[""G28""],""ch7"":[""G25""],""ch8"":[""G05""],""ch9"":[""G29""]}",true,26,7,7,12,ch1;ch2;ch3;ch4;ch6;ch7;ch9,true,2,true,1,navigation/rinex_nav/RINEXFILE.26N,true,1,trajectory/F1023_V70_D0117_P4_trajectory.nmea,completed,true,2,G11;G12;G25;G28;G29;G32,7,G11;G12;G25;G28;G29;G31;G32,"{""G11"":[2],""G12"":[4],""G25"":[7],""G28"":[6],""G29"":[9],""G31"":[1],""G32"":[3]}",not_run,false,0,
F1023_V70_D0120_P1,standard_scene,GPS_L1_CA,10230000,E:\AAGNSSSDR_input\raw_data\F1023_V70_D0120_P1.bin,external_storage,SUCCESS,true,24,12,12,ch0;ch1;ch2;ch3;ch4;ch5;ch6;ch7;ch8;ch9;ch10;ch11,"{""ch0"":[""G28""],""ch10"":[""G02"",""G16""],""ch11"":[""G23""],""ch2"":[""G18""],""ch3"":[""G26""],""ch4"":[""G10"",""G16"",""G23""],""ch5"":[""G29""],""ch6"":[""G07"",""G19""],""ch7"":[""G22"",""G28""],""ch8"":[""G27""],""ch9"":[""G31""]}",true,22,5,5,12,ch2;ch3;ch5;ch8;ch9,true,2,true,1,navigation/rinex_nav/RINEXFILE.26N,true,1,trajectory/F1023_V70_D0120_P1_trajectory.nmea,completed,true,2,G18;G26;G27;G29;G31,5,G18;G26;G27;G29;G31,"{""G18"":[2],""G26"":[3],""G27"":[8],""G29"":[5],""G31"":[9]}",not_run,false,0,
F1023_V70_D0120_P5,standard_scene,GPS_L1_CA,10230000,E:\AAGNSSSDR_input\raw_data\F1023_V70_D0120_P5.bin,external_storage,SUCCESS,true,24,12,12,ch0;ch1;ch2;ch3;ch4;ch5;ch6;ch7;ch8;ch9;ch10;ch11,"{""ch0"":[""G23"",""G27""],""ch1"":[""G16""],""ch10"":[""G27"",""G29"",""G31""],""ch11"":[""G01"",""G05""],""ch2"":[""G18""],""ch3"":[""G08"",""G29""],""ch4"":[""G28"",""G29""],""ch5"":[""G02"",""G28""],""ch6"":[""G28""],""ch7"":[""G26""],""ch8"":[""G05"",""G27"",""G31""],""ch9"":[""G31""]}",true,22,5,5,12,ch0;ch1;ch2;ch7;ch10,true,2,true,1,navigation/rinex_nav/RINEXFILE.26N,true,1,trajectory/F1023_V70_D0120_P5_trajectory.nmea,completed,true,2,G16;G18;G23;G26;G27,5,G16;G18;G23;G26;G27,"{""G16"":[1],""G18"":[2],""G23"":[0],""G26"":[7],""G27"":[10]}",not_run,false,0,
F1023_V70_D0120_P7,standard_scene,GPS_L1_CA,10230000,E:\AAGNSSSDR_input\raw_data\F1023_V70_D0120_P7.bin,external_storage,SUCCESS,true,24,12,12,ch0;ch1;ch2;ch3;ch4;ch5;ch6;ch7;ch8;ch9;ch10;ch11,"{""ch0"":[""G06"",""G14""],""ch1"":[""G16""],""ch10"":[""G27""],""ch2"":[""G15"",""G28""],""ch3"":[""G12"",""G25""],""ch4"":[""G18""],""ch5"":[""G23"",""G29""],""ch6"":[""G26""],""ch7"":[""G27""],""ch8"":[""G31""]}",true,20,4,4,12,ch1;ch4;ch6;ch8,true,2,true,1,navigation/rinex_nav/RINEXFILE.26N,true,1,trajectory/F1023_V70_D0120_P7_trajectory.nmea,completed,true,2,G16;G18;G26;G31,4,G16;G18;G26;G31,"{""G16"":[1],""G18"":[4],""G26"":[6],""G31"":[8]}",not_run,false,0,
F1023_V70_D0120_P8,standard_scene,GPS_L1_CA,10230000,E:\AAGNSSSDR_input\raw_data\F1023_V70_D0120_P8.bin,external_storage,SUCCESS,true,24,12,12,ch0;ch1;ch2;ch3;ch4;ch5;ch6;ch7;ch8;ch9;ch10;ch11,"{""ch0"":[""G05"",""G25""],""ch10"":[""G09""],""ch11"":[""G23""],""ch2"":[""G31""],""ch3"":[""G26""],""ch4"":[""G16""],""ch5"":[""G23""],""ch6"":[""G05""],""ch8"":[""G27""],""ch9"":[""G18""]}",true,20,4,4,12,ch3;ch4;ch9;ch11,true,2,true,1,navigation/rinex_nav/RINEXFILE.26N,true,1,trajectory/F1023_V70_D0120_P8_trajectory.nmea,completed,true,2,G16;G18;G23;G26,4,G16;G18;G23;G26,"{""G16"":[4],""G18"":[9],""G23"":[11],""G26"":[3]}",not_run,false,0,
F1023_V70_D0120_P9,standard_scene,GPS_L1_CA,10230000,E:\AAGNSSSDR_input\raw_data\F1023_V70_D0120_P9.bin,external_storage,SUCCESS,true,24,12,12,ch0;ch1;ch2;ch3;ch4;ch5;ch6;ch7;ch8;ch9;ch10;ch11,"{""ch1"":[""G18""],""ch10"":[""G05""],""ch11"":[""G28""],""ch2"":[""G27""],""ch3"":[""G23""],""ch4"":[""G29""],""ch5"":[""G27""],""ch6"":[""G26""],""ch7"":[""G31""],""ch9"":[""G16""]}",true,30,9,9,12,ch1;ch3;ch4;ch5;ch6;ch7;ch9;ch10;ch11,true,2,true,1,navigation/rinex_nav/RINEXFILE.26N,true,1,trajectory/F1023_V70_D0120_P9_trajectory.nmea,completed,true,2,G05;G16;G18;G23;G26;G27;G29;G31,9,G05;G16;G18;G23;G26;G27;G28;G29;G31,"{""G05"":[10],""G16"":[9],""G18"":[1],""G23"":[3,10],""G26"":[6],""G27"":[5],""G28"":[11],""G29"":[4],""G31"":[7]}",not_run,false,0,nav_mapping_without_tracking_start:G23:ch10
F1023_V70_D0122_P1,standard_scene,GPS_L1_CA,10230000,E:\AAGNSSSDR_input\raw_data\F1023_V70_D0122_P1.bin,external_storage,SUCCESS,true,24,12,12,ch0;ch1;ch2;ch3;ch4;ch5;ch6;ch7;ch8;ch9;ch10;ch11,"{""ch0"":[""G23""],""ch1"":[""G10"",""G21""],""ch10"":[""G25""],""ch11"":[""G19""],""ch2"":[""G17""],""ch3"":[""G10"",""G14""],""ch4"":[""G22""],""ch5"":[""G13""],""ch6"":[""G12""],""ch7"":[""G24""],""ch8"":[""G15""],""ch9"":[""G14""]}",true,30,9,9,12,ch0;ch2;ch4;ch5;ch6;ch7;ch8;ch9;ch11,true,2,true,1,navigation/rinex_nav/RINEXFILE.26N,true,1,trajectory/F1023_V70_D0122_P1_trajectory.nmea,completed,true,2,G12;G13;G14;G15;G17;G19;G22;G23;G24,8,G12;G13;G14;G15;G17;G19;G22;G24,"{""G12"":[6],""G13"":[5],""G14"":[9],""G15"":[8],""G17"":[2],""G19"":[11],""G22"":[4],""G24"":[7]}",not_run,false,0,
