scene_id,alignment_id,alignment_method,verified,recording_time_origin_utc,gps_week,leap_seconds,max_alignment_error_s,source_files,missing_reason,nmea_anchor_utc,rinex_calendar_date,schema_version
F1023_V120_D0121_P2,F1023_V120_D0121_P2__tow_to_utc_v1,tow_to_utc,1,2026-01-21T11:17:03.213Z,2402,18,0.010767,"[""dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv"", ""scenes/F1023_V120_D0121_P2/trajectory/F1023_V120_D0121_P2_trajectory.nmea"", ""scenes/F1023_V120_D0121_P2/navigation/rinex_nav/RINEXFILE.26N"", ""scenes/F1023_V120_D0121_P2/sage_results/nav_sage_v2/G25/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V120_D0121_P2/sage_results/nav_sage_v2/G28/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V120_D0121_P2/sage_results/nav_sage_v2/G32/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V120_D0121_P2/satellite/F1023_V120_D0121_P2_satellite_elevation_timeseries.csv""]",,2026-01-21T11:17:31.990Z,2026-01-21,sage-event-context-alignment-v1
F1023_V70_D0117_P2,F1023_V70_D0117_P2__tow_to_utc_v1,tow_to_utc,1,2026-01-17T11:47:40.183Z,2401,18,0.007359,"[""dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv"", ""scenes/F1023_V70_D0117_P2/trajectory/F1023_V70_D0117_P2_trajectory.nmea"", ""scenes/F1023_V70_D0117_P2/navigation/rinex_nav/RINEXFILE.26N"", ""scenes/F1023_V70_D0117_P2/sage_results/nav_sage_v2/G11/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0117_P2/sage_results/nav_sage_v2/G12/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0117_P2/sage_results/nav_sage_v2/G25/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0117_P2/sage_results/nav_sage_v2/G28/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0117_P2/sage_results/nav_sage_v2/G29/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0117_P2/sage_results/nav_sage_v2/G32/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0117_P2/satellite/F1023_V70_D0117_P2_satellite_elevation_timeseries.csv""]",,2026-01-17T11:48:21.000Z,2026-01-17,sage-event-context-alignment-v1
F1023_V70_D0117_P4,F1023_V70_D0117_P4__tow_to_utc_v1,tow_to_utc,1,2026-01-17T12:17:43.228Z,2401,18,0.007693,"[""dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv"", ""scenes/F1023_V70_D0117_P4/trajectory/F1023_V70_D0117_P4_trajectory.nmea"", ""scenes/F1023_V70_D0117_P4/navigation/rinex_nav/RINEXFILE.26N"", ""scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G25/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G31/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G32/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0117_P4/satellite/F1023_V70_D0117_P4_satellite_elevation_timeseries.csv""]",,2026-01-17T12:18:31.980Z,2026-01-17,sage-event-context-alignment-v1
F1023_V70_D0120_P1,F1023_V70_D0120_P1__tow_to_utc_v1,tow_to_utc,1,2026-01-20T15:20:40.864Z,2402,18,0.007253,"[""dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv"", ""scenes/F1023_V70_D0120_P1/trajectory/F1023_V70_D0120_P1_trajectory.nmea"", ""scenes/F1023_V70_D0120_P1/navigation/rinex_nav/RINEXFILE.26N"", ""scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G26/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G27/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G29/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G31/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P1/satellite/F1023_V70_D0120_P1_satellite_elevation_timeseries.csv""]",,2026-01-20T15:21:20.000Z,2026-01-20,sage-event-context-alignment-v1
F1023_V70_D0120_P5,F1023_V70_D0120_P5__tow_to_utc_v1,tow_to_utc,1,2026-01-20T15:26:40.163Z,2402,18,0.011232,"[""dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv"", ""scenes/F1023_V70_D0120_P5/trajectory/F1023_V70_D0120_P5_trajectory.nmea"", ""scenes/F1023_V70_D0120_P5/navigation/rinex_nav/RINEXFILE.26N"", ""scenes/F1023_V70_D0120_P5/sage_results/nav_sage_v2/G18/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P5/sage_results/nav_sage_v2/G23/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P5/sage_results/nav_sage_v2/G26/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P5/sage_results/nav_sage_v2/G27/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P5/satellite/F1023_V70_D0120_P5_satellite_elevation_timeseries.csv""]",,2026-01-20T15:27:30.990Z,2026-01-20,sage-event-context-alignment-v1
F1023_V70_D0120_P7,F1023_V70_D0120_P7__tow_to_utc_v1,tow_to_utc,1,2026-01-20T15:31:12.218Z,2402,18,0.00779,"[""dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv"", ""scenes/F1023_V70_D0120_P7/trajectory/F1023_V70_D0120_P7_trajectory.nmea"", ""scenes/F1023_V70_D0120_P7/navigation/rinex_nav/RINEXFILE.26N"", ""scenes/F1023_V70_D0120_P7/sage_results/nav_sage_v2/G18/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P7/sage_results/nav_sage_v2/G26/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P7/sage_results/nav_sage_v2/G31/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P7/satellite/F1023_V70_D0120_P7_satellite_elevation_timeseries.csv""]",,2026-01-20T15:31:55.990Z,2026-01-20,sage-event-context-alignment-v1
F1023_V70_D0120_P8,F1023_V70_D0120_P8__tow_to_utc_v1,tow_to_utc,1,2026-01-20T15:33:13.842Z,2402,18,0.010462,"[""dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv"", ""scenes/F1023_V70_D0120_P8/trajectory/F1023_V70_D0120_P8_trajectory.nmea"", ""scenes/F1023_V70_D0120_P8/navigation/rinex_nav/RINEXFILE.26N"", ""scenes/F1023_V70_D0120_P8/sage_results/nav_sage_v2/G16/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P8/sage_results/nav_sage_v2/G18/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P8/sage_results/nav_sage_v2/G23/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P8/sage_results/nav_sage_v2/G26/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P8/satellite/F1023_V70_D0120_P8_satellite_elevation_timeseries.csv""]",,2026-01-20T15:34:00.990Z,2026-01-20,sage-event-context-alignment-v1
F1023_V70_D0120_P9,F1023_V70_D0120_P9__tow_to_utc_v1,tow_to_utc,1,2026-01-20T15:34:59.469Z,2402,18,0.013061,"[""dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv"", ""scenes/F1023_V70_D0120_P9/trajectory/F1023_V70_D0120_P9_trajectory.nmea"", ""scenes/F1023_V70_D0120_P9/navigation/rinex_nav/RINEXFILE.26N"", ""scenes/F1023_V70_D0120_P9/sage_results/nav_sage_v2/G16/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P9/sage_results/nav_sage_v2/G18/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P9/sage_results/nav_sage_v2/G26/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P9/sage_results/nav_sage_v2/G27/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P9/sage_results/nav_sage_v2/G28/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P9/sage_results/nav_sage_v2/G29/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P9/sage_results/nav_sage_v2/G31/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0120_P9/satellite/F1023_V70_D0120_P9_satellite_elevation_timeseries.csv""]",,2026-01-20T15:35:32.000Z,2026-01-20,sage-event-context-alignment-v1
F1023_V70_D0122_P1,F1023_V70_D0122_P1__tow_to_utc_v1,tow_to_utc,1,2026-01-22T08:22:01.770Z,2402,18,0.007555,"[""dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv"", ""scenes/F1023_V70_D0122_P1/trajectory/F1023_V70_D0122_P1_trajectory.nmea"", ""scenes/F1023_V70_D0122_P1/navigation/rinex_nav/RINEXFILE.26N"", ""scenes/F1023_V70_D0122_P1/sage_results/nav_sage_v2/G13/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0122_P1/sage_results/nav_sage_v2/G14/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0122_P1/sage_results/nav_sage_v2/G15/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0122_P1/sage_results/nav_sage_v2/G17/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0122_P1/sage_results/nav_sage_v2/G19/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0122_P1/sage_results/nav_sage_v2/G22/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0122_P1/sage_results/nav_sage_v2/G24/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0122_P1/satellite/F1023_V70_D0122_P1_satellite_elevation_timeseries.csv""]",,2026-01-22T08:22:31.990Z,2026-01-22,sage-event-context-alignment-v1
F1023_V70_D0122_P2,F1023_V70_D0122_P2__tow_to_utc_v1,tow_to_utc,1,2026-01-22T08:30:33.373Z,2402,18,0.007044,"[""dataset_generation_logs/production_planning_10mhz_20260812/scene_metadata_10MHz.csv"", ""scenes/F1023_V70_D0122_P2/trajectory/F1023_V70_D0122_P2_trajectory.nmea"", ""scenes/F1023_V70_D0122_P2/navigation/rinex_nav/RINEXFILE.26N"", ""scenes/F1023_V70_D0122_P2/sage_results/nav_sage_v2/G10/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0122_P2/sage_results/nav_sage_v2/G12/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0122_P2/sage_results/nav_sage_v2/G13/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0122_P2/sage_results/nav_sage_v2/G19/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0122_P2/sage_results/nav_sage_v2/G23/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0122_P2/sage_results/nav_sage_v2/G24/stage0_valid_40ms_windows.csv"", ""scenes/F1023_V70_D0122_P2/satellite/F1023_V70_D0122_P2_satellite_elevation_timeseries.csv""]",,2026-01-22T08:31:01.990Z,2026-01-22,sage-event-context-alignment-v1
