event_path_id,event_id,run_id,scene_id,prn,tracking_channel,center_window_id,path_id,estimate_stage,path_role,is_multipath,delay_samples,excess_delay_samples,excess_delay_chips,excess_delay_s,derived_excess_path_length_m,doppler_hz,doppler_offset_hz,relative_power_db,source_power_field,amplitude,phase_rad,coherence,label_value,label_rule_version,source_file,source_file_sha256,source_row_number,modeling_eligibility,missing_reason,schema_version,event_utc,environment_class,special_condition,road_type,elevation_deg,azimuth_deg,nmea_snr_db_hz,geometry_join_status,geometry_join_valid,geometry_source_utc,geometry_time_delta_s,alignment_version
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_347__path_2,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_347,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,7,347,2,stage4_joint,multipath,1,1.2,1.2,0.12,,,-5209.41456805439,-4.50392352314157,-8.64239900343813,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G25/stage4_joint_paths.csv,32da94c676a5edd60b503d517c002ddd46316396d9f0221a6848f0c68070458d,5,eligible_pending_modeling_qa,,sage-event-path-db-v1,2026-01-17T12:18:36.920Z,Mountain/Valley,mountain ascending road,mountain ascending road,83.000,357.000,49.000,valid,1,2026-01-17T12:18:36.980Z,0.06,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_350__path_2,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_350,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,7,350,2,stage4_joint,multipath,1,0.9,1,0.1,,,-5205.09930453708,0.116515775416701,-4.2174922764624,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G25/stage4_joint_paths.csv,32da94c676a5edd60b503d517c002ddd46316396d9f0221a6848f0c68070458d,7,eligible_pending_modeling_qa,,sage-event-path-db-v1,2026-01-17T12:18:36.980Z,Mountain/Valley,mountain ascending road,mountain ascending road,83.000,357.000,49.000,valid,1,2026-01-17T12:18:36.980Z,0,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_348__path_2,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_348,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,9,348,2,stage4_joint,multipath,1,1.1,1.1,0.11,,,-2975.80646914709,5.3695562435355,-7.8940584298249,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,c368bf9b8eb768f46651a3057e954be651706bd9b07781075af5e222838fb52b,7,eligible_pending_modeling_qa,,sage-event-path-db-v1,2026-01-17T12:18:36.940Z,Mountain/Valley,mountain ascending road,mountain ascending road,56.000,207.000,45.000,valid,1,2026-01-17T12:18:36.980Z,0.04,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_357__path_2,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_357,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,3,357,2,stage4_joint,multipath,1,1.3,1.1,0.11,,,-7207.95293053035,-4.05839928034675,-3.49096986532041,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G32/stage4_joint_paths.csv,0883cc40f7054f1949c639e0a37524f003693a14a2e7f09e8514d597ec513c0e,6,eligible_pending_modeling_qa,,sage-event-path-db-v1,2026-01-17T12:18:37.120Z,Mountain/Valley,mountain ascending road,mountain ascending road,28.000,250.000,46.000,valid,1,2026-01-17T12:18:36.980Z,0.14,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_76__path_2,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_76,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,3,76,2,stage4_joint,multipath,1,1.1,1.1,0.11,,,-5142.28296352971,9.66430209528517,-8.15201281759688,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G26/stage4_joint_paths.csv,d4748cee84f0aafa28bb783b30987ab0aaa47df178f52bb4535f42ad2c52f941,3,eligible_pending_modeling_qa,,sage-event-path-db-v1,2026-01-20T15:21:19.500Z,Urban,high-rise buildings,urban road,74.000,250.000,49.000,valid,1,2026-01-20T15:21:20.000Z,0.5,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_78__path_2,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_78,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,3,78,2,stage4_joint,multipath,1,1,1.1,0.11,,,-5142.52075649846,9.66430209528517,-7.65772309879221,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G26/stage4_joint_paths.csv,d4748cee84f0aafa28bb783b30987ab0aaa47df178f52bb4535f42ad2c52f941,6,eligible_pending_modeling_qa,,sage-event-path-db-v1,2026-01-20T15:21:19.540Z,Urban,high-rise buildings,urban road,74.000,250.000,49.000,valid,1,2026-01-20T15:21:20.000Z,0.46,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1218__path_2,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1218,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,5,1218,2,stage4_joint,multipath,1,0.8,1.1,0.11,,,-7884.88589075692,-1.18569544442107,1.99172158788203,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,d31578bcfa801d7f7e1877c6fae6985f0faa29d5c11c4ea86810f0461138d503,5,eligible_pending_modeling_qa,,sage-event-path-db-v1,2026-01-20T15:21:42.340Z,Urban,high-rise buildings,urban road,34.000,76.000,43.000,valid,1,2026-01-20T15:21:42.000Z,0.34,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2593__path_2,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2593,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,5,2593,2,stage4_joint,multipath,1,1.3,1.1,0.11,,,-7895.47583462346,19.6643020952852,-8.37792084097364,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,d31578bcfa801d7f7e1877c6fae6985f0faa29d5c11c4ea86810f0461138d503,10,eligible_pending_modeling_qa,,sage-event-path-db-v1,2026-01-20T15:22:09.840Z,Urban,high-rise buildings,urban road,33.000,76.000,44.000,valid,1,2026-01-20T15:22:09.000Z,0.84,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2594__path_2,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2594,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,5,2594,2,stage4_joint,multipath,1,1.1,1.2,0.12,,,-7907.31909634221,4.66430209528517,-2.10703189943137,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,d31578bcfa801d7f7e1877c6fae6985f0faa29d5c11c4ea86810f0461138d503,12,eligible_pending_modeling_qa,,sage-event-path-db-v1,2026-01-20T15:22:09.860Z,Urban,high-rise buildings,urban road,33.000,76.000,44.000,valid,1,2026-01-20T15:22:09.000Z,0.86,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_784__path_2,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_784,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,9,784,2,stage4_joint,multipath,1,1.7,1,0.1,,,-7902.46655488487,12.8859841776266,-10.2137455218284,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,57b0b3f41bd22841b1ec64efd86131f463021a2ca6970b72c2e01132f154d055,5,eligible_pending_modeling_qa,,sage-event-path-db-v1,2026-01-20T15:22:03.660Z,Urban,high-rise buildings,urban road,34.000,228.000,44.000,valid,1,2026-01-20T15:22:04.000Z,0.34,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_469__path_2,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_469,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,9,469,2,stage4_joint,multipath,1,1.9,1.7,0.17,,,-7924.00686437825,-21.3110635970042,-6.12322208384473,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,57b0b3f41bd22841b1ec64efd86131f463021a2ca6970b72c2e01132f154d055,9,eligible_pending_modeling_qa,,sage-event-path-db-v1,2026-01-20T15:21:57.360Z,Urban,high-rise buildings,urban road,34.000,228.000,44.000,valid,1,2026-01-20T15:21:57.000Z,0.36,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_471__path_2,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_471,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,9,471,2,stage4_joint,multipath,1,2,1.7,0.17,,,-7915.91066741111,-17.1372299111135,-4.88615542102219,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,57b0b3f41bd22841b1ec64efd86131f463021a2ca6970b72c2e01132f154d055,11,eligible_pending_modeling_qa,,sage-event-path-db-v1,2026-01-20T15:21:57.400Z,Urban,high-rise buildings,urban road,34.000,228.000,44.000,valid,1,2026-01-20T15:21:57.000Z,0.4,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_594__path_2,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_594,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,9,594,2,stage4_joint,multipath,1,1,1.2,0.12,,,-7926.68252828071,-31.0233485932058,-6.06877775185129,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,57b0b3f41bd22841b1ec64efd86131f463021a2ca6970b72c2e01132f154d055,13,eligible_pending_modeling_qa,,sage-event-path-db-v1,2026-01-20T15:21:59.860Z,Urban,high-rise buildings,urban road,34.000,228.000,42.000,valid,1,2026-01-20T15:22:00.000Z,0.14,sage-event-context-alignment-v1
F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_874__path_2,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_874,F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G18,2,874,2,stage4_joint,multipath,1,1.1,1,0.1,,,-4608.73218227971,9.66430209528517,-7.85419886106737,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0120_P5/sage_results/nav_sage_v2/G18/stage4_joint_paths.csv,d85483af3f5285ef6778decb83bcde4e823fba401f872e7ba8a49edef43b0e1f,6,eligible_pending_modeling_qa,,sage-event-path-db-v1,2026-01-20T15:27:35.460Z,Urban,low-rise residential area,urban residential road,73.000,136.000,48.000,valid,1,2026-01-20T15:27:34.990Z,0.47,sage-event-context-alignment-v1
F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1__event_84__path_2,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1__event_84,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G18,4,84,2,stage4_joint,multipath,1,1.1,1,0.1,,,-4820.07495571721,-5.33569790471483,-6.6344569939449,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0120_P7/sage_results/nav_sage_v2/G18/stage4_joint_paths.csv,b0091149a459357d0b10f82191dfaeac1b495b843a88aaa9104c525bf82d28e4,6,eligible_pending_modeling_qa,,sage-event-path-db-v1,2026-01-20T15:31:55.660Z,Urban,tram infrastructure and moving tram,urban tram road,74.000,129.000,48.000,valid,1,2026-01-20T15:31:55.990Z,0.33,sage-event-context-alignment-v1
F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1__event_417__path_2,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1__event_417,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G18,4,417,2,stage4_joint,multipath,1,1,1,0.1,,,-4823.08011239099,-5.38479989099415,-4.73078763183884,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0120_P7/sage_results/nav_sage_v2/G18/stage4_joint_paths.csv,b0091149a459357d0b10f82191dfaeac1b495b843a88aaa9104c525bf82d28e4,9,eligible_pending_modeling_qa,,sage-event-path-db-v1,2026-01-20T15:32:02.320Z,Urban,tram infrastructure and moving tram,urban tram road,74.000,129.000,50.000,valid,1,2026-01-20T15:32:01.990Z,0.33,sage-event-context-alignment-v1
