event_id,run_id,scene_id,prn,event_status,confirmed_event,event_utc,environment_class,geometry_join_status,geometry_join_valid,include_in_environment_modeling,include_in_elevation_modeling,exclusion_reason,alignment_id,alignment_version
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_964,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,rejected_candidate,0,2026-01-27T12:43:43.260Z,Urban,valid,1,1,1,,F1023_v50_D0127_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_327,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,rejected_candidate,0,2026-01-27T12:43:30.520Z,Urban,valid,1,1,1,,F1023_v50_D0127_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_329,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,rejected_candidate,0,2026-01-27T12:43:30.560Z,Urban,valid,1,1,1,,F1023_v50_D0127_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_994,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,rejected_candidate,0,2026-01-27T12:43:43.860Z,Urban,valid,1,1,1,,F1023_v50_D0127_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1077,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,rejected_candidate,0,2026-01-27T12:43:45.520Z,Urban,valid,1,1,1,,F1023_v50_D0127_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1078,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,rejected_candidate,0,2026-01-27T12:43:45.540Z,Urban,valid,1,1,1,,F1023_v50_D0127_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1186,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,rejected_candidate,0,2026-01-27T12:43:47.700Z,Urban,valid,1,1,1,,F1023_v50_D0127_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1187,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,rejected_candidate,0,2026-01-27T12:43:47.720Z,Urban,valid,1,1,1,,F1023_v50_D0127_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_348,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,rejected_candidate,0,2026-01-17T12:18:36.940Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_349,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,rejected_candidate,0,2026-01-17T12:18:36.960Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_347,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,confirmed_multipath,1,2026-01-17T12:18:36.920Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_350,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,confirmed_multipath,1,2026-01-17T12:18:36.980Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_557,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,rejected_candidate,0,2026-01-17T12:18:41.120Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_558,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,rejected_candidate,0,2026-01-17T12:18:41.140Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_18,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,rejected_candidate,0,2026-01-17T12:18:30.340Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_58,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,rejected_candidate,0,2026-01-17T12:18:31.140Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_409,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,rejected_candidate,0,2026-01-17T12:18:38.160Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_556,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,rejected_candidate,0,2026-01-17T12:18:41.100Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_559,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,rejected_candidate,0,2026-01-17T12:18:41.160Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_307,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,rejected_candidate,0,2026-01-17T12:18:36.120Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_308,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,rejected_candidate,0,2026-01-17T12:18:36.140Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_309,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,rejected_candidate,0,2026-01-17T12:18:36.160Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_347,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,rejected_candidate,0,2026-01-17T12:18:36.920Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_348,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,confirmed_multipath,1,2026-01-17T12:18:36.940Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_349,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,rejected_candidate,0,2026-01-17T12:18:36.960Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_464,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,rejected_candidate,0,2026-01-17T12:18:39.260Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_465,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,rejected_candidate,0,2026-01-17T12:18:39.280Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1__event_436,F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G31,rejected_candidate,0,2026-01-17T12:18:38.700Z,Mountain/Valley,unavailable,0,1,0,geometry_prn_missing_in_timeseries,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_57,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,rejected_candidate,0,2026-01-17T12:18:31.120Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
