event_id,run_id,scene_id,prn,center_window_id,recording_time_s,tow_s,event_utc,elevation_deg,azimuth_deg,tracking_cn0_db_hz,nmea_snr_db_hz,vehicle_speed_kmh,speed_source,geometry_join_status,geometry_join_valid,geometry_join_method,geometry_source_utc,geometry_time_delta_s,time_alignment_id,missing_reason,observation_quality,derivation_version,context_alignment_version
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_964,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,964,58.0992017595308,218641.26,2026-01-27T12:43:43.260Z,39.000,306.000,42.1335334777832,41.000,17.6048341999129,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-27T12:43:43.990Z,0.73,F1023_v50_D0127_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_327,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,327,45.3591775171066,218628.52,2026-01-27T12:43:30.520Z,38.000,306.000,45.7023963928223,46.000,13.57219679998,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-27T12:43:30.990Z,0.47,F1023_v50_D0127_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_329,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,329,45.3991776148583,218628.56,2026-01-27T12:43:30.560Z,38.000,306.000,45.7844467163086,46.000,13.6670191999993,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-27T12:43:30.990Z,0.43,F1023_v50_D0127_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_994,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,994,58.6992029325513,218641.86,2026-01-27T12:43:43.860Z,39.000,306.000,41.1641387939453,41.000,12.9989102000916,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-27T12:43:43.990Z,0.13,F1023_v50_D0127_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1077,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1077,60.3592060606061,218643.52,2026-01-27T12:43:45.520Z,39.000,306.000,39.1099510192871,38.000,21.616173599947,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-27T12:43:46.990Z,1.47,F1023_v50_D0127_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1078,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1078,60.3792061583578,218643.54,2026-01-27T12:43:45.540Z,39.000,306.000,38.8170433044434,38.000,21.7418626667307,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-27T12:43:46.990Z,1.45,F1023_v50_D0127_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1186,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1186,62.5392101661779,218645.7,2026-01-27T12:43:47.700Z,39.000,306.000,37.3367080688477,38.000,18.4940719997619,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-27T12:43:47.990Z,0.29,F1023_v50_D0127_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1187,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1187,62.5592101661779,218645.72,2026-01-27T12:43:47.720Z,39.000,306.000,37.5767631530762,38.000,18.1458959999443,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-27T12:43:47.990Z,0.27,F1023_v50_D0127_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_348,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,348,53.7037350928641,562734.94,2026-01-17T12:18:36.940Z,83.000,357.000,49.1099815368652,49.000,51.528566399872,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:36.980Z,0.04,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_349,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,349,53.7237350928641,562734.96,2026-01-17T12:18:36.960Z,83.000,357.000,49.093147277832,49.000,51.5719031999124,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:36.980Z,0.02,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
