severity,issue_code,event_id,run_id,scene_id,prn,detail,action,alignment_version
warning,geometry_prn_missing_in_timeseries,F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1__event_436,F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G31,,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
warning,nearest_geometry_delta_exceeds_5s,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_122,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G26,10.57,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
warning,nearest_geometry_delta_exceeds_5s,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_123,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G26,10.55,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
warning,nearest_geometry_delta_exceeds_5s,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_121,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G26,10.59,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
warning,nearest_geometry_delta_exceeds_5s,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_124,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G26,10.53,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
warning,nearest_geometry_delta_exceeds_5s,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_136,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G26,10.29,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
warning,nearest_geometry_delta_exceeds_5s,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_137,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G26,10.27,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
warning,nearest_geometry_delta_exceeds_5s,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_138,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G26,10.25,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
warning,nearest_geometry_delta_exceeds_5s,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_286,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G26,7.29,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
warning,geometry_prn_missing_in_timeseries,F1023_V70_D0120_P9__G28__ch11__nav_sage_v2__ingestion_20260825_event_path_v1__event_592,F1023_V70_D0120_P9__G28__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G28,,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
warning,geometry_prn_missing_in_timeseries,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_594,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P2,G12,,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
warning,geometry_prn_missing_in_timeseries,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_451,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P2,G12,,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
warning,geometry_prn_missing_in_timeseries,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_535,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P2,G12,,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
warning,geometry_prn_missing_in_timeseries,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_653,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P2,G12,,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
warning,geometry_prn_missing_in_timeseries,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_694,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P2,G12,,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
warning,geometry_prn_missing_in_timeseries,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_848,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P2,G12,,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
warning,geometry_prn_missing_in_timeseries,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_471,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P2,G12,,exclude_from_elevation_conditioned_modeling_retain_context,sage-event-context-alignment-v1
