geometry_observation_id,scene_id,run_id,prn,geometry_scope,start_utc,end_utc,min_elevation_deg,max_elevation_deg,mean_elevation_deg,median_elevation_deg,elevation_std_deg,circular_mean_azimuth_deg,mean_snr_db_hz,observation_count,primary_elevation_group,geometry_join_status,geometry_join_valid,source_file,source_file_sha256,source_row_number,missing_reason,schema_version
F1023_V120_D0121_P2__G25__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__geometry_summary,F1023_V120_D0121_P2,F1023_V120_D0121_P2__G25__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,G25,run_summary,2026-01-21T11:17:31.990Z,2026-01-21T11:27:03.990Z,68.000,72.000,69.878,70.000,1.291,277.803,49.537,518,High,deferred_unavailable,0,scenes/F1023_V120_D0121_P2/satellite/F1023_V120_D0121_P2_satellite_elevation_summary.csv,0c4dbc04f37df233c475f9312090dbc436e37d4523aa5c6a764d1b538004ddcb,6,summary_is_run_level_only; event_time_alignment_not_verified,sage-event-path-db-v1
F1023_V120_D0121_P2__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__geometry_summary,F1023_V120_D0121_P2,F1023_V120_D0121_P2__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,G28,run_summary,2026-01-21T11:17:31.990Z,2026-01-21T11:27:03.990Z,25.000,29.000,26.921,27.000,1.200,306.000,44.847,518,Low,deferred_unavailable,0,scenes/F1023_V120_D0121_P2/satellite/F1023_V120_D0121_P2_satellite_elevation_summary.csv,0c4dbc04f37df233c475f9312090dbc436e37d4523aa5c6a764d1b538004ddcb,7,summary_is_run_level_only; event_time_alignment_not_verified,sage-event-path-db-v1
F1023_V120_D0121_P2__G32__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__geometry_summary,F1023_V120_D0121_P2,F1023_V120_D0121_P2__G32__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,G32,run_summary,2026-01-21T11:17:31.990Z,2026-01-21T11:27:03.990Z,36.000,38.000,37.135,37.000,0.667,267.100,47.958,518,Mid,deferred_unavailable,0,scenes/F1023_V120_D0121_P2/satellite/F1023_V120_D0121_P2_satellite_elevation_summary.csv,0c4dbc04f37df233c475f9312090dbc436e37d4523aa5c6a764d1b538004ddcb,9,summary_is_run_level_only; event_time_alignment_not_verified,sage-event-path-db-v1
F1023_v50_D0127_P1__G11__ch10__nav_sage_v2__ingestion_20260825_event_path_v1__geometry_summary,F1023_v50_D0127_P1,F1023_v50_D0127_P1__G11__ch10__nav_sage_v2__ingestion_20260825_event_path_v1,G11,run_summary,2026-01-27T12:43:25.990Z,2026-01-27T12:43:43.990Z,22.000,22.000,22.000,22.000,0.000,45.000,42.778,18,Low,deferred_unavailable,0,scenes/F1023_v50_D0127_P1/satellite/F1023_v50_D0127_P1_satellite_elevation_summary.csv,4653279fa365e4f10e9772fc283a684d6aba80ca681a301b5c595063593a3a68,2,summary_is_run_level_only; event_time_alignment_not_verified,sage-event-path-db-v1
F1023_v50_D0127_P1__G28__ch4__nav_sage_v2__ingestion_20260825_event_path_v1__geometry_summary,F1023_v50_D0127_P1,F1023_v50_D0127_P1__G28__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,G28,run_summary,2026-01-27T12:43:25.990Z,2026-01-27T12:43:47.990Z,64.000,64.000,64.000,64.000,0.000,270.150,43.650,20,High,deferred_unavailable,0,scenes/F1023_v50_D0127_P1/satellite/F1023_v50_D0127_P1_satellite_elevation_summary.csv,4653279fa365e4f10e9772fc283a684d6aba80ca681a301b5c595063593a3a68,4,summary_is_run_level_only; event_time_alignment_not_verified,sage-event-path-db-v1
F1023_v50_D0127_P1__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__geometry_summary,F1023_v50_D0127_P1,F1023_v50_D0127_P1__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,G29,run_summary,2026-01-27T12:43:25.990Z,2026-01-27T12:43:47.990Z,86.000,86.000,86.000,86.000,0.000,73.750,48.650,20,High,deferred_unavailable,0,scenes/F1023_v50_D0127_P1/satellite/F1023_v50_D0127_P1_satellite_elevation_summary.csv,4653279fa365e4f10e9772fc283a684d6aba80ca681a301b5c595063593a3a68,5,summary_is_run_level_only; event_time_alignment_not_verified,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__geometry_summary,F1023_v50_D0127_P1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,G31,run_summary,2026-01-27T12:43:25.990Z,2026-01-27T12:43:47.990Z,38.000,39.000,38.550,39.000,0.497,306.000,45.000,20,Mid,deferred_unavailable,0,scenes/F1023_v50_D0127_P1/satellite/F1023_v50_D0127_P1_satellite_elevation_summary.csv,4653279fa365e4f10e9772fc283a684d6aba80ca681a301b5c595063593a3a68,6,summary_is_run_level_only; event_time_alignment_not_verified,sage-event-path-db-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__geometry_summary,F1023_V70_D0117_P4,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,G25,run_summary,2026-01-17T12:18:31.980Z,2026-01-17T12:18:46.980Z,83.000,83.000,83.000,83.000,0.000,356.750,48.938,16,High,deferred_unavailable,0,scenes/F1023_V70_D0117_P4/satellite/F1023_V70_D0117_P4_satellite_elevation_summary.csv,45f50292bfd7738a0f4cf8f7d4243c8ab65155fe97d1081a7c26c24300cdf1af,4,summary_is_run_level_only; event_time_alignment_not_verified,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__geometry_summary,F1023_V70_D0117_P4,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,G28,run_summary,2026-01-17T12:18:31.980Z,2026-01-17T12:18:46.980Z,42.000,42.000,42.000,42.000,0.000,304.000,46.188,16,Mid,deferred_unavailable,0,scenes/F1023_V70_D0117_P4/satellite/F1023_V70_D0117_P4_satellite_elevation_summary.csv,45f50292bfd7738a0f4cf8f7d4243c8ab65155fe97d1081a7c26c24300cdf1af,5,summary_is_run_level_only; event_time_alignment_not_verified,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__geometry_summary,F1023_V70_D0117_P4,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,G29,run_summary,2026-01-17T12:18:31.980Z,2026-01-17T12:18:46.980Z,56.000,56.000,56.000,56.000,0.000,207.000,46.000,16,Mid,deferred_unavailable,0,scenes/F1023_V70_D0117_P4/satellite/F1023_V70_D0117_P4_satellite_elevation_summary.csv,45f50292bfd7738a0f4cf8f7d4243c8ab65155fe97d1081a7c26c24300cdf1af,6,summary_is_run_level_only; event_time_alignment_not_verified,sage-event-path-db-v1
F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1__geometry_summary,F1023_V70_D0117_P4,F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,G31,run_summary,,,,,,,,,,,,deferred_unavailable,0,scenes/F1023_V70_D0117_P4/satellite/F1023_V70_D0117_P4_satellite_elevation_summary.csv,45f50292bfd7738a0f4cf8f7d4243c8ab65155fe97d1081a7c26c24300cdf1af,,summary_is_run_level_only; event_time_alignment_not_verified,sage-event-path-db-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__geometry_summary,F1023_V70_D0117_P4,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,G32,run_summary,2026-01-17T12:18:31.980Z,2026-01-17T12:18:46.980Z,28.000,28.000,28.000,28.000,0.000,250.000,44.750,16,Low,deferred_unavailable,0,scenes/F1023_V70_D0117_P4/satellite/F1023_V70_D0117_P4_satellite_elevation_summary.csv,45f50292bfd7738a0f4cf8f7d4243c8ab65155fe97d1081a7c26c24300cdf1af,7,summary_is_run_level_only; event_time_alignment_not_verified,sage-event-path-db-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__geometry_summary,F1023_V70_D0120_P1,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,G26,run_summary,2026-01-20T15:21:20.000Z,2026-01-20T15:22:09.000Z,74.000,74.000,74.000,74.000,0.000,249.660,49.200,50,High,deferred_unavailable,0,scenes/F1023_V70_D0120_P1/satellite/F1023_V70_D0120_P1_satellite_elevation_summary.csv,0ee87da27eba7346c3753c5d54cfdf8d8f43300d096aa2d9e2111256042f702a,3,summary_is_run_level_only; event_time_alignment_not_verified,sage-event-path-db-v1
F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__geometry_summary,F1023_V70_D0120_P1,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,G27,run_summary,2026-01-20T15:21:20.000Z,2026-01-20T15:22:09.000Z,17.000,17.000,17.000,17.000,0.000,268.000,39.640,50,Low,deferred_unavailable,0,scenes/F1023_V70_D0120_P1/satellite/F1023_V70_D0120_P1_satellite_elevation_summary.csv,0ee87da27eba7346c3753c5d54cfdf8d8f43300d096aa2d9e2111256042f702a,4,summary_is_run_level_only; event_time_alignment_not_verified,sage-event-path-db-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__geometry_summary,F1023_V70_D0120_P1,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,G29,run_summary,2026-01-20T15:21:20.000Z,2026-01-20T15:22:09.000Z,33.000,34.000,33.680,34.000,0.466,76.000,43.400,50,Mid,deferred_unavailable,0,scenes/F1023_V70_D0120_P1/satellite/F1023_V70_D0120_P1_satellite_elevation_summary.csv,0ee87da27eba7346c3753c5d54cfdf8d8f43300d096aa2d9e2111256042f702a,5,summary_is_run_level_only; event_time_alignment_not_verified,sage-event-path-db-v1
