scene_id,alignment_id,alignment_method,verified,recording_time_origin_utc,gps_week,leap_seconds,max_alignment_error_s,source_files,missing_reason,schema_version
F1023_V120_D0121_P2,F1023_V120_D0121_P2__alignment_unavailable_v1,unavailable,0,,,,,"[""scenes/F1023_V120_D0121_P2/metadata.json"", ""scenes/F1023_V120_D0121_P2/satellite/F1023_V120_D0121_P2_satellite_elevation_summary.csv""]",recording_time_to_utc_anchor_not_frozen,sage-event-path-db-v1
F1023_v50_D0127_P1,F1023_v50_D0127_P1__alignment_unavailable_v1,unavailable,0,,,,,"[""scenes/F1023_v50_D0127_P1/metadata.json"", ""scenes/F1023_v50_D0127_P1/satellite/F1023_v50_D0127_P1_satellite_elevation_summary.csv""]",recording_time_to_utc_anchor_not_frozen,sage-event-path-db-v1
F1023_V70_D0117_P4,F1023_V70_D0117_P4__alignment_unavailable_v1,unavailable,0,,,,,"[""scenes/F1023_V70_D0117_P4/metadata.json"", ""scenes/F1023_V70_D0117_P4/satellite/F1023_V70_D0117_P4_satellite_elevation_summary.csv""]",recording_time_to_utc_anchor_not_frozen,sage-event-path-db-v1
F1023_V70_D0120_P1,F1023_V70_D0120_P1__alignment_unavailable_v1,unavailable,0,,,,,"[""scenes/F1023_V70_D0120_P1/metadata.json"", ""scenes/F1023_V70_D0120_P1/satellite/F1023_V70_D0120_P1_satellite_elevation_summary.csv""]",recording_time_to_utc_anchor_not_frozen,sage-event-path-db-v1
F1023_V70_D0120_P5,F1023_V70_D0120_P5__alignment_unavailable_v1,unavailable,0,,,,,"[""scenes/F1023_V70_D0120_P5/metadata.json"", ""scenes/F1023_V70_D0120_P5/satellite/F1023_V70_D0120_P5_satellite_elevation_summary.csv""]",recording_time_to_utc_anchor_not_frozen,sage-event-path-db-v1
F1023_V70_D0120_P7,F1023_V70_D0120_P7__alignment_unavailable_v1,unavailable,0,,,,,"[""scenes/F1023_V70_D0120_P7/metadata.json"", ""scenes/F1023_V70_D0120_P7/satellite/F1023_V70_D0120_P7_satellite_elevation_summary.csv""]",recording_time_to_utc_anchor_not_frozen,sage-event-path-db-v1
F1023_V70_D0120_P8,F1023_V70_D0120_P8__alignment_unavailable_v1,unavailable,0,,,,,"[""scenes/F1023_V70_D0120_P8/metadata.json"", ""scenes/F1023_V70_D0120_P8/satellite/F1023_V70_D0120_P8_satellite_elevation_summary.csv""]",recording_time_to_utc_anchor_not_frozen,sage-event-path-db-v1
F1023_V70_D0120_P9,F1023_V70_D0120_P9__alignment_unavailable_v1,unavailable,0,,,,,"[""scenes/F1023_V70_D0120_P9/metadata.json"", ""scenes/F1023_V70_D0120_P9/satellite/F1023_V70_D0120_P9_satellite_elevation_summary.csv""]",recording_time_to_utc_anchor_not_frozen,sage-event-path-db-v1
F1023_V70_D0122_P1,F1023_V70_D0122_P1__alignment_unavailable_v1,unavailable,0,,,,,"[""scenes/F1023_V70_D0122_P1/metadata.json"", ""scenes/F1023_V70_D0122_P1/satellite/F1023_V70_D0122_P1_satellite_elevation_summary.csv""]",recording_time_to_utc_anchor_not_frozen,sage-event-path-db-v1
F1023_V70_D0122_P2,F1023_V70_D0122_P2__alignment_unavailable_v1,unavailable,0,,,,,"[""scenes/F1023_V70_D0122_P2/metadata.json"", ""scenes/F1023_V70_D0122_P2/satellite/F1023_V70_D0122_P2_satellite_elevation_summary.csv""]",recording_time_to_utc_anchor_not_frozen,sage-event-path-db-v1
F1023_V80_D0117_P8,F1023_V80_D0117_P8__alignment_unavailable_v1,unavailable,0,,,,,"[""scenes/F1023_V80_D0117_P8/metadata.json"", ""scenes/F1023_V80_D0117_P8/satellite/F1023_V80_D0117_P8_satellite_elevation_summary.csv""]",recording_time_to_utc_anchor_not_frozen,sage-event-path-db-v1
F1023_v90_D0117_P7,F1023_v90_D0117_P7__alignment_unavailable_v1,unavailable,0,,,,,"[""scenes/F1023_v90_D0117_P7/metadata.json"", ""scenes/F1023_v90_D0117_P7/satellite/F1023_v90_D0117_P7_satellite_elevation_summary.csv""]",recording_time_to_utc_anchor_not_frozen,sage-event-path-db-v1
F1023_V70_D0117_P2,F1023_V70_D0117_P2__alignment_unavailable_v1,unavailable,0,,,,,"[""scenes/F1023_V70_D0117_P2/metadata.json"", ""scenes/F1023_V70_D0117_P2/satellite/F1023_V70_D0117_P2_satellite_elevation_summary.csv""]",recording_time_to_utc_anchor_not_frozen,sage-event-path-db-v1
