run_id,scene_id,prn,confirmed_event_count,run_label,physical_los_claim,modeling_eligibility,exclusion_or_context_note,schema_version
F1023_V120_D0121_P2__G25__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2,G25,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V120_D0121_P2__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2,G28,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V120_D0121_P2__G32__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2,G32,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_v50_D0127_P1__G11__ch10__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G11,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_v50_D0127_P1__G28__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G28,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_v50_D0127_P1__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G29,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G31,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G27,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V70_D0120_P5__G23__ch0__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G23,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V70_D0120_P5__G27__ch10__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G27,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V70_D0120_P7__G26__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G26,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P8,G16,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V70_D0120_P8__G23__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P8,G23,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V70_D0120_P9__G18__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G18,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V70_D0120_P9__G28__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G28,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
