run_id,scene_id,prn,batch,acceptance_class,stage0_window_count,stage2_selected_count,stage3_reliable_centers,stage4_rows,confirmed_events,confirmed_paths,run_label,modeling_eligibility,schema_version
F1023_V120_D0121_P2__G25__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2,G25,C_long_running_batch,formal_accepted_production,26214,70,0,0,0,0,no_confirmed_event,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V120_D0121_P2__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2,G28,C_long_running_batch,formal_accepted_production,26198,76,0,0,0,0,no_confirmed_event,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V120_D0121_P2__G32__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2,G32,C_long_running_batch,formal_accepted_production,26198,65,0,0,0,0,no_confirmed_event,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G11__ch10__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G11,B_main_production_batch,formal_accepted_production,958,66,0,0,0,0,no_confirmed_event,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G28__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G28,B_main_production_batch,formal_accepted_production,2151,54,0,0,0,0,no_confirmed_event,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G29,B_main_production_batch,formal_accepted_production,2444,49,0,0,0,0,no_confirmed_event,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,B_main_production_batch,formal_accepted_production,1198,111,18,8,0,0,no_confirmed_event,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,A_pipeline_validation_batch,validated_only,893,112,4,4,2,2,confirmed_multipath,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,A_pipeline_validation_batch,validated_only,893,117,7,7,0,0,no_confirmed_event,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,A_pipeline_validation_batch,validated_only,893,105,12,8,1,1,confirmed_multipath,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G31,A_pipeline_validation_batch,validated_only,892,116,1,1,0,0,no_confirmed_event,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,A_pipeline_validation_batch,validated_only,893,102,4,4,1,1,confirmed_multipath,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,A_pipeline_validation_batch,validated_only,2609,111,14,8,2,2,confirmed_multipath,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G27,A_pipeline_validation_batch,validated_only,2609,110,3,3,0,0,no_confirmed_event,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,A_pipeline_validation_batch,validated_only,2609,104,8,8,3,3,confirmed_multipath,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,A_pipeline_validation_batch,validated_only,1109,111,16,8,4,4,confirmed_multipath,eligible_pending_modeling_qa,sage-event-path-db-v1
