candidate_id,run_id,scene_id,prn,center_window_id,recording_time_s,selected_L,multipath_count,minimum_path_run,reliable_multipath,candidate_status,event_id,source_file,source_file_sha256,source_row_number,modeling_eligibility,schema_version
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_964,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,964,58.0992017595308,3,2,3,1,rejected_candidate,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_964,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,2,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_327,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,327,45.3591775171066,2,1,5,1,rejected_candidate,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_327,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,3,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_329,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,329,45.3991776148583,2,1,5,1,rejected_candidate,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_329,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,4,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_994,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,994,58.6992029325513,2,1,4,1,rejected_candidate,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_994,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,5,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_1077,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1077,60.3592060606061,2,1,4,1,rejected_candidate,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1077,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,6,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_1078,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1078,60.3792061583578,2,1,4,1,rejected_candidate,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1078,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,7,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_1186,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1186,62.5392101661779,2,1,4,1,rejected_candidate,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1186,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,8,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_1187,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1187,62.5592101661779,2,1,4,1,rejected_candidate,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1187,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,9,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_970,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,970,58.2192020527859,2,1,3,1,not_joint_evaluated,,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,10,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_995,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,995,58.7192029325513,2,1,3,1,not_joint_evaluated,,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,11,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_996,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,996,58.739203030303,2,1,3,1,not_joint_evaluated,,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,12,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_1012,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1012,59.0592036168133,2,1,3,1,not_joint_evaluated,,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,13,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_1013,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,1013,59.0792036168133,2,1,3,1,not_joint_evaluated,,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,02153a440f774061b66b13a8a5f72ba131e277b4da9b7cb191aab90161409d8d,14,eligible_pending_modeling_qa,sage-event-path-db-v1
