event_path_id,event_id,run_id,scene_id,prn,tracking_channel,center_window_id,path_id,estimate_stage,path_role,is_multipath,delay_samples,excess_delay_samples,excess_delay_chips,excess_delay_s,derived_excess_path_length_m,doppler_hz,doppler_offset_hz,relative_power_db,source_power_field,amplitude,phase_rad,coherence,label_value,label_rule_version,source_file,source_file_sha256,source_row_number,modeling_eligibility,missing_reason,schema_version
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_964__path_1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_964,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,5,964,1,stage4_joint,los,0,0.4,0,0,,,-3025.5888671875,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,cc9f3534cd4552a6e60e2449769de8840bef96bcd0468987a241a547038559e6,2,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_327__path_1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_327,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,5,327,1,stage4_joint,los,0,0.4,0,0,,,-3024.01635742188,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,cc9f3534cd4552a6e60e2449769de8840bef96bcd0468987a241a547038559e6,3,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_329__path_1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_329,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,5,329,1,stage4_joint,los,0,0.2,0,0,,,-3025.85620117188,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,cc9f3534cd4552a6e60e2449769de8840bef96bcd0468987a241a547038559e6,4,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_994__path_1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_994,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,5,994,1,stage4_joint,los,0,0,0,0,,,-3027.19287109375,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,cc9f3534cd4552a6e60e2449769de8840bef96bcd0468987a241a547038559e6,5,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1077__path_1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1077,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,5,1077,1,stage4_joint,los,0,1.11022302462516e-16,0,0,,,-3025.54272460938,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,cc9f3534cd4552a6e60e2449769de8840bef96bcd0468987a241a547038559e6,6,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1078__path_1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1078,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,5,1078,1,stage4_joint,los,0,0.100000000000001,0,0,,,-3024.30151367188,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,cc9f3534cd4552a6e60e2449769de8840bef96bcd0468987a241a547038559e6,7,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1186__path_1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1186,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,5,1186,1,stage4_joint,los,0,0.7,0,0,,,-3030.39721679688,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,cc9f3534cd4552a6e60e2449769de8840bef96bcd0468987a241a547038559e6,8,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1187__path_1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1187,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,5,1187,1,stage4_joint,los,0,0.7,0,0,,,-3031.07202148438,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,cc9f3534cd4552a6e60e2449769de8840bef96bcd0468987a241a547038559e6,9,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_348__path_1,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_348,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,7,348,1,stage4_joint,los,0,0.3,0,0,,,-5206.8583984375,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G25/stage4_joint_paths.csv,32da94c676a5edd60b503d517c002ddd46316396d9f0221a6848f0c68070458d,2,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_349__path_1,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_349,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,7,349,1,stage4_joint,los,0,0.3,0,0,,,-5204.638671875,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G25/stage4_joint_paths.csv,32da94c676a5edd60b503d517c002ddd46316396d9f0221a6848f0c68070458d,3,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
