event_id,run_id,logical_run_key,scene_id,prn,tracking_channel,center_window_id,recording_time_s,stage2_L,joint_selected_L,joint_multipath_count,joint_rss,joint_bic,snapshot_wins_vs_L1,minimum_multipath_power_db,maximum_relative_doppler_hz,maximum_coherence,joint_valid,event_status,label_rule_version,source_file,source_file_sha256,source_row_number,request_id,qa_status,modeling_eligibility,schema_version
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_964,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2,F1023_v50_D0127_P1,G31,5,964,58.0992017595308,3,1,0,1021239.49034973,-3335.14432793022,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage4_joint_summary.csv,175b1dae00e75682b06d1a71805fd01b10fc62b47679e326a01accda63a57cb5,2,windows_unattended_F1023_v50_D0127_P1__G31_20260819T004818Z_007,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_327,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2,F1023_v50_D0127_P1,G31,5,327,45.3591775171066,2,1,0,1018347.02402863,-9138.27159773637,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage4_joint_summary.csv,175b1dae00e75682b06d1a71805fd01b10fc62b47679e326a01accda63a57cb5,3,windows_unattended_F1023_v50_D0127_P1__G31_20260819T004818Z_007,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_329,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2,F1023_v50_D0127_P1,G31,5,329,45.3991776148583,2,1,0,1018459.4299318,-8912.44505671736,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage4_joint_summary.csv,175b1dae00e75682b06d1a71805fd01b10fc62b47679e326a01accda63a57cb5,4,windows_unattended_F1023_v50_D0127_P1__G31_20260819T004818Z_007,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_994,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2,F1023_v50_D0127_P1,G31,5,994,58.6992029325513,2,1,0,1020966.60247001,-3881.93400522674,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage4_joint_summary.csv,175b1dae00e75682b06d1a71805fd01b10fc62b47679e326a01accda63a57cb5,5,windows_unattended_F1023_v50_D0127_P1__G31_20260819T004818Z_007,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1077,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2,F1023_v50_D0127_P1,G31,5,1077,60.3592060606061,2,1,0,1022364.42881987,-1082.62922870194,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage4_joint_summary.csv,175b1dae00e75682b06d1a71805fd01b10fc62b47679e326a01accda63a57cb5,6,windows_unattended_F1023_v50_D0127_P1__G31_20260819T004818Z_007,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1078,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2,F1023_v50_D0127_P1,G31,5,1078,60.3792061583578,2,1,0,1022393.73891417,-1023.97343859376,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage4_joint_summary.csv,175b1dae00e75682b06d1a71805fd01b10fc62b47679e326a01accda63a57cb5,7,windows_unattended_F1023_v50_D0127_P1__G31_20260819T004818Z_007,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1186,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2,F1023_v50_D0127_P1,G31,5,1186,62.5392101661779,2,1,0,1021555.81104968,-2701.51044710348,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage4_joint_summary.csv,175b1dae00e75682b06d1a71805fd01b10fc62b47679e326a01accda63a57cb5,8,windows_unattended_F1023_v50_D0127_P1__G31_20260819T004818Z_007,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1187,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2,F1023_v50_D0127_P1,G31,5,1187,62.5592101661779,2,1,0,1021429.77986346,-2953.94473589676,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31/stage4_joint_summary.csv,175b1dae00e75682b06d1a71805fd01b10fc62b47679e326a01accda63a57cb5,9,windows_unattended_F1023_v50_D0127_P1__G31_20260819T004818Z_007,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_348,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2,F1023_V70_D0117_P4,G25,7,348,53.7037350928641,4,1,0,1009312.39510724,-27371.0901155008,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G25/stage4_joint_summary.csv,df2177fd85e3fc09ecc3b40db9413463ee8a369adc45eec59c9aff8cfe91a765,2,windows_unattended_F1023_V70_D0117_P4__G25_20260819T004818Z_008,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_349,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2,F1023_V70_D0117_P4,G25,7,349,53.7237350928641,4,1,0,1009612.7061876,-26762.4132759751,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G25/stage4_joint_summary.csv,df2177fd85e3fc09ecc3b40db9413463ee8a369adc45eec59c9aff8cfe91a765,3,windows_unattended_F1023_V70_D0117_P4__G25_20260819T004818Z_008,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
