run_id,logical_run_key,scene_id,scene_role,prn,constellation,prn_number,tracking_channel,signal_type,sampling_rate_hz,raw_storage_mode,raw_file_relpath,tracking_file_relpath,telemetry_file_relpath,rinex_nav_relpath,trajectory_relpath,satellite_geometry_relpaths,pipeline_family,pipeline_version,experiment_namespace,context_version,parameter_set_id,code_commit,code_sha256,run_created_at_utc,source_result_relpath,source_fingerprint,ingestion_version,run_status,stage0_status,stage1_status,stage2_status,stage3_status,stage4_status,stage0_nav_symbol_count,stage0_window_count,stage1_scanned_count,stage1_candidate_count,stage2_L1_count,stage2_L2_count,stage2_L3_count,stage2_L4_count,stage2_L_ge_2_count,stage2_L_ge_3_count,stage3_reliable_event_count,stage4_joint_result_count,confirmed_event_count,confirmed_path_count,qa_status,qa_issue_count,request_id,request_sha256,qa_report_path,execution_log_path,manifest_sha256,inventory_sha256,acceptance_class,batch,context_missing_legacy,modeling_eligibility,schema_version
F1023_V120_D0121_P2__G25__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2__G25__ch5__nav_sage_v2,F1023_V120_D0121_P2,standard_scene,G25,G,25,5,GPS_L1_CA,10230000,external_storage_or_scene_local,E:\AAGNSSSDR_input\raw_data\F1023_V120_D0121_P2.bin,E:\GNSS_Multipath_Project\scenes\F1023_V120_D0121_P2\gnss_sdr\tracking\F1023_V120_D0121_P2_track_ch_5.mat,E:\GNSS_Multipath_Project\scenes\F1023_V120_D0121_P2\gnss_sdr\telemetry\F1023_V120_D0121_P2_telemetry_ch_5.dat,E:\GNSS_Multipath_Project\scenes\F1023_V120_D0121_P2\navigation\rinex_nav\RINEXFILE.26N,E:\GNSS_Multipath_Project\scenes\F1023_V120_D0121_P2\trajectory\F1023_V120_D0121_P2_trajectory.nmea,"[""E:\\GNSS_Multipath_Project\\scenes\\F1023_V120_D0121_P2\\satellite\\F1023_V120_D0121_P2_satellite_elevation_summary.csv"", ""E:\\GNSS_Multipath_Project\\scenes\\F1023_V120_D0121_P2\\satellite\\F1023_V120_D0121_P2_satellite_elevation_timeseries.csv""]",nav_sage_pipeline,,nav_sage_v2,1,not_recorded,,bffc123c97af77f0a797f417d3866e9a34feab7729c5c1575352f53bc3571b9c,2026-08-19T00:53:02Z,scenes/F1023_V120_D0121_P2/sage_results/nav_sage_v2/G25,41faa3ed4f1a74b00293fa59e94fe004c694865cc6a5480a2705d0dd112f76df,sage-event-path-db-v1/ingest-v1,complete,complete,complete,complete,empty_valid,empty_valid,26222,26214,26214,70,66,3,0,1,4,1,0,0,0,0,pass,0,windows_unattended_F1023_V120_D0121_P2__G25_20260819T004818Z_001,b2c77cca1c6720cf29558588fa57bcd90ad553835628abdedf6bc9e135b6b78b,E:\GNSS_Multipath_Project\docs\10MHz_FULL_SAGE_UNATTENDED_BATCH_20260819_QA_REPORT.md,E:\GNSS_Multipath_Project\dataset_generation_logs\batch_sage_execution\batch_sage_execution_20260819T005244Z\batch_execution_log.csv,77c20c0ed6c84fa0348db429948a8bd4900b2e8d86a6d8843b159b9a7a35cf00,af368feba90797584d7690d4927ed32de604651a5a62662f4adce348a89e4bb4,formal_accepted_production,C_long_running_batch,0,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V120_D0121_P2__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2__G28__ch6__nav_sage_v2,F1023_V120_D0121_P2,standard_scene,G28,G,28,6,GPS_L1_CA,10230000,external_storage_or_scene_local,E:\AAGNSSSDR_input\raw_data\F1023_V120_D0121_P2.bin,E:\GNSS_Multipath_Project\scenes\F1023_V120_D0121_P2\gnss_sdr\tracking\F1023_V120_D0121_P2_track_ch_6.mat,E:\GNSS_Multipath_Project\scenes\F1023_V120_D0121_P2\gnss_sdr\telemetry\F1023_V120_D0121_P2_telemetry_ch_6.dat,E:\GNSS_Multipath_Project\scenes\F1023_V120_D0121_P2\navigation\rinex_nav\RINEXFILE.26N,E:\GNSS_Multipath_Project\scenes\F1023_V120_D0121_P2\trajectory\F1023_V120_D0121_P2_trajectory.nmea,"[""E:\\GNSS_Multipath_Project\\scenes\\F1023_V120_D0121_P2\\satellite\\F1023_V120_D0121_P2_satellite_elevation_summary.csv"", ""E:\\GNSS_Multipath_Project\\scenes\\F1023_V120_D0121_P2\\satellite\\F1023_V120_D0121_P2_satellite_elevation_timeseries.csv""]",nav_sage_pipeline,,nav_sage_v2,1,not_recorded,,bffc123c97af77f0a797f417d3866e9a34feab7729c5c1575352f53bc3571b9c,2026-08-19T14:44:25Z,scenes/F1023_V120_D0121_P2/sage_results/nav_sage_v2/G28,294b3874a986c08861bb77b28110349c6a6c5567451339b32e37e99dc9a4a0d6,sage-event-path-db-v1/ingest-v1,complete,complete,complete,complete,empty_valid,empty_valid,26207,26198,26198,76,74,1,1,0,2,1,0,0,0,0,pass,0,windows_unattended_F1023_V120_D0121_P2__G28_20260819T004818Z_002,854cca959b5212694ff927c6706a1737f780a1265f6d10b770109a1f67d4568d,E:\GNSS_Multipath_Project\docs\10MHz_FULL_SAGE_UNATTENDED_BATCH_20260819_QA_REPORT.md,E:\GNSS_Multipath_Project\dataset_generation_logs\batch_sage_execution\batch_sage_execution_20260819T144409Z\batch_execution_log.csv,77c20c0ed6c84fa0348db429948a8bd4900b2e8d86a6d8843b159b9a7a35cf00,af368feba90797584d7690d4927ed32de604651a5a62662f4adce348a89e4bb4,formal_accepted_production,C_long_running_batch,0,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V120_D0121_P2__G32__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2__G32__ch7__nav_sage_v2,F1023_V120_D0121_P2,standard_scene,G32,G,32,7,GPS_L1_CA,10230000,external_storage_or_scene_local,E:\AAGNSSSDR_input\raw_data\F1023_V120_D0121_P2.bin,E:\GNSS_Multipath_Project\scenes\F1023_V120_D0121_P2\gnss_sdr\tracking\F1023_V120_D0121_P2_track_ch_7.mat,E:\GNSS_Multipath_Project\scenes\F1023_V120_D0121_P2\gnss_sdr\telemetry\F1023_V120_D0121_P2_telemetry_ch_7.dat,E:\GNSS_Multipath_Project\scenes\F1023_V120_D0121_P2\navigation\rinex_nav\RINEXFILE.26N,E:\GNSS_Multipath_Project\scenes\F1023_V120_D0121_P2\trajectory\F1023_V120_D0121_P2_trajectory.nmea,"[""E:\\GNSS_Multipath_Project\\scenes\\F1023_V120_D0121_P2\\satellite\\F1023_V120_D0121_P2_satellite_elevation_summary.csv"", ""E:\\GNSS_Multipath_Project\\scenes\\F1023_V120_D0121_P2\\satellite\\F1023_V120_D0121_P2_satellite_elevation_timeseries.csv""]",nav_sage_pipeline,,nav_sage_v2,1,not_recorded,,bffc123c97af77f0a797f417d3866e9a34feab7729c5c1575352f53bc3571b9c,2026-08-20T04:50:46Z,scenes/F1023_V120_D0121_P2/sage_results/nav_sage_v2/G32,4b622658b65cf5e3e73f4fce083dd8d5a2b3e2033b1c5a91703480d82e396e88,sage-event-path-db-v1/ingest-v1,complete,complete,complete,complete,empty_valid,empty_valid,26204,26198,26198,65,63,1,0,1,2,1,0,0,0,0,pass,0,windows_unattended_F1023_V120_D0121_P2__G32_20260819T004818Z_003,74efd9db2d4d5459814d282fe62abce2ee63a816b718bdcabed7191675bb91f7,E:\GNSS_Multipath_Project\docs\10MHz_FULL_SAGE_UNATTENDED_BATCH_20260819_QA_REPORT.md,E:\GNSS_Multipath_Project\dataset_generation_logs\batch_sage_execution\batch_sage_execution_20260820T045032Z\batch_execution_log.csv,77c20c0ed6c84fa0348db429948a8bd4900b2e8d86a6d8843b159b9a7a35cf00,af368feba90797584d7690d4927ed32de604651a5a62662f4adce348a89e4bb4,formal_accepted_production,C_long_running_batch,0,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G11__ch10__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1__G11__ch10__nav_sage_v2,F1023_v50_D0127_P1,standard_scene,G11,G,11,10,GPS_L1_CA,10230000,external_storage_or_scene_local,E:\AAGNSSSDR_input\raw_data\F1023_v50_D0127_P1.bin,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\gnss_sdr\tracking\F1023_v50_D0127_P1_track_ch_10.mat,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\gnss_sdr\telemetry\F1023_v50_D0127_P1_telemetry_ch_10.dat,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\navigation\rinex_nav\RINEXFILE.26N,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\trajectory\F1023_v50_D0127_P1_trajectory.nmea,"[""E:\\GNSS_Multipath_Project\\scenes\\F1023_v50_D0127_P1\\satellite\\F1023_v50_D0127_P1_satellite_elevation_summary.csv"", ""E:\\GNSS_Multipath_Project\\scenes\\F1023_v50_D0127_P1\\satellite\\F1023_v50_D0127_P1_satellite_elevation_timeseries.csv""]",nav_sage_pipeline,,nav_sage_v2,1,not_recorded,,bffc123c97af77f0a797f417d3866e9a34feab7729c5c1575352f53bc3571b9c,2026-08-20T19:19:45Z,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G11,1de6c5e121e0cf11cbdc34f943ef1bbd9ceb2be112125e5d6dcba4e78a80ba80,sage-event-path-db-v1/ingest-v1,complete,complete,complete,complete,empty_valid,empty_valid,972,958,958,66,55,8,1,2,11,3,0,0,0,0,pass,0,windows_unattended_F1023_v50_D0127_P1__G11_20260819T004818Z_004,f9143aa29ae313d51d8e99f0e440f7ea027b87d2530a53c15ddd7825a54a90cb,E:\GNSS_Multipath_Project\docs\10MHz_FULL_SAGE_UNATTENDED_BATCH_20260819_QA_REPORT.md,E:\GNSS_Multipath_Project\dataset_generation_logs\batch_sage_execution\batch_sage_execution_20260820T191931Z\batch_execution_log.csv,77c20c0ed6c84fa0348db429948a8bd4900b2e8d86a6d8843b159b9a7a35cf00,af368feba90797584d7690d4927ed32de604651a5a62662f4adce348a89e4bb4,formal_accepted_production,B_main_production_batch,0,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G28__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1__G28__ch4__nav_sage_v2,F1023_v50_D0127_P1,standard_scene,G28,G,28,4,GPS_L1_CA,10230000,external_storage_or_scene_local,E:\AAGNSSSDR_input\raw_data\F1023_v50_D0127_P1.bin,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\gnss_sdr\tracking\F1023_v50_D0127_P1_track_ch_4.mat,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\gnss_sdr\telemetry\F1023_v50_D0127_P1_telemetry_ch_4.dat,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\navigation\rinex_nav\RINEXFILE.26N,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\trajectory\F1023_v50_D0127_P1_trajectory.nmea,"[""E:\\GNSS_Multipath_Project\\scenes\\F1023_v50_D0127_P1\\satellite\\F1023_v50_D0127_P1_satellite_elevation_summary.csv"", ""E:\\GNSS_Multipath_Project\\scenes\\F1023_v50_D0127_P1\\satellite\\F1023_v50_D0127_P1_satellite_elevation_timeseries.csv""]",nav_sage_pipeline,,nav_sage_v2,1,not_recorded,,bffc123c97af77f0a797f417d3866e9a34feab7729c5c1575352f53bc3571b9c,2026-08-20T20:31:34Z,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G28,915dd50a386a895234a1c55986d894209c7bb9f7632be3651e2d85b4aa5d8e1e,sage-event-path-db-v1/ingest-v1,complete,complete,complete,complete,empty_valid,empty_valid,2158,2151,2151,54,54,0,0,0,0,0,0,0,0,0,pass,0,windows_unattended_F1023_v50_D0127_P1__G28_20260819T004818Z_005,413627435a5c69bdb82edef812ef77a64e92fc599e115fdf4e519182a0fad067,E:\GNSS_Multipath_Project\docs\10MHz_FULL_SAGE_UNATTENDED_BATCH_20260819_QA_REPORT.md,E:\GNSS_Multipath_Project\dataset_generation_logs\batch_sage_execution\batch_sage_execution_20260820T203118Z\batch_execution_log.csv,77c20c0ed6c84fa0348db429948a8bd4900b2e8d86a6d8843b159b9a7a35cf00,af368feba90797584d7690d4927ed32de604651a5a62662f4adce348a89e4bb4,formal_accepted_production,B_main_production_batch,0,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1__G29__ch9__nav_sage_v2,F1023_v50_D0127_P1,standard_scene,G29,G,29,9,GPS_L1_CA,10230000,external_storage_or_scene_local,E:\AAGNSSSDR_input\raw_data\F1023_v50_D0127_P1.bin,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\gnss_sdr\tracking\F1023_v50_D0127_P1_track_ch_9.mat,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\gnss_sdr\telemetry\F1023_v50_D0127_P1_telemetry_ch_9.dat,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\navigation\rinex_nav\RINEXFILE.26N,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\trajectory\F1023_v50_D0127_P1_trajectory.nmea,"[""E:\\GNSS_Multipath_Project\\scenes\\F1023_v50_D0127_P1\\satellite\\F1023_v50_D0127_P1_satellite_elevation_summary.csv"", ""E:\\GNSS_Multipath_Project\\scenes\\F1023_v50_D0127_P1\\satellite\\F1023_v50_D0127_P1_satellite_elevation_timeseries.csv""]",nav_sage_pipeline,,nav_sage_v2,1,not_recorded,,bffc123c97af77f0a797f417d3866e9a34feab7729c5c1575352f53bc3571b9c,2026-08-20T22:01:26Z,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G29,a29f8fca061d0e186494fcf94988f176761f9780236e8e181938179796582021,sage-event-path-db-v1/ingest-v1,complete,complete,complete,complete,empty_valid,empty_valid,2453,2444,2444,49,49,0,0,0,0,0,0,0,0,0,pass,0,windows_unattended_F1023_v50_D0127_P1__G29_20260819T004818Z_006,5a76d530a9969d4b94b76fcac9c7e28167b6999b1217f0c105c834b65b2071f9,E:\GNSS_Multipath_Project\docs\10MHz_FULL_SAGE_UNATTENDED_BATCH_20260819_QA_REPORT.md,E:\GNSS_Multipath_Project\dataset_generation_logs\batch_sage_execution\batch_sage_execution_20260820T220115Z\batch_execution_log.csv,77c20c0ed6c84fa0348db429948a8bd4900b2e8d86a6d8843b159b9a7a35cf00,af368feba90797584d7690d4927ed32de604651a5a62662f4adce348a89e4bb4,formal_accepted_production,B_main_production_batch,0,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2,F1023_v50_D0127_P1,standard_scene,G31,G,31,5,GPS_L1_CA,10230000,external_storage_or_scene_local,E:\AAGNSSSDR_input\raw_data\F1023_v50_D0127_P1.bin,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\gnss_sdr\tracking\F1023_v50_D0127_P1_track_ch_5.mat,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\gnss_sdr\telemetry\F1023_v50_D0127_P1_telemetry_ch_5.dat,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\navigation\rinex_nav\RINEXFILE.26N,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\trajectory\F1023_v50_D0127_P1_trajectory.nmea,"[""E:\\GNSS_Multipath_Project\\scenes\\F1023_v50_D0127_P1\\satellite\\F1023_v50_D0127_P1_satellite_elevation_summary.csv"", ""E:\\GNSS_Multipath_Project\\scenes\\F1023_v50_D0127_P1\\satellite\\F1023_v50_D0127_P1_satellite_elevation_timeseries.csv""]",nav_sage_pipeline,,nav_sage_v2,1,not_recorded,,bffc123c97af77f0a797f417d3866e9a34feab7729c5c1575352f53bc3571b9c,2026-08-20T23:34:58Z,scenes/F1023_v50_D0127_P1/sage_results/nav_sage_v2/G31,89df40c167a2761a42f0fd02b088c014f103bdf86377cb360b71d9282dba1ede,sage-event-path-db-v1/ingest-v1,complete,complete,complete,complete,complete,complete,1200,1198,1198,111,48,34,22,7,63,29,18,8,0,0,pass,0,windows_unattended_F1023_v50_D0127_P1__G31_20260819T004818Z_007,49d991a97052b166212c64103b1da4aafa4fd57a40b6eebecaf5ff39d3352d17,E:\GNSS_Multipath_Project\docs\10MHz_FULL_SAGE_UNATTENDED_BATCH_20260819_QA_REPORT.md,E:\GNSS_Multipath_Project\dataset_generation_logs\batch_sage_execution\batch_sage_execution_20260820T233447Z\batch_execution_log.csv,77c20c0ed6c84fa0348db429948a8bd4900b2e8d86a6d8843b159b9a7a35cf00,af368feba90797584d7690d4927ed32de604651a5a62662f4adce348a89e4bb4,formal_accepted_production,B_main_production_batch,0,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2,F1023_V70_D0117_P4,standard_scene,G25,G,25,7,GPS_L1_CA,10230000,external_storage_or_scene_local,E:\AAGNSSSDR_input\raw_data\F1023_V70_D0117_P4.bin,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P4\gnss_sdr\tracking\F1023_V70_D0117_P4_track_ch_7.mat,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P4\gnss_sdr\telemetry\F1023_V70_D0117_P4_telemetry_ch_7.dat,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P4\navigation\rinex_nav\RINEXFILE.26N,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P4\trajectory\F1023_V70_D0117_P4_trajectory.nmea,"[""E:\\GNSS_Multipath_Project\\scenes\\F1023_V70_D0117_P4\\satellite\\F1023_V70_D0117_P4_satellite_elevation_summary.csv"", ""E:\\GNSS_Multipath_Project\\scenes\\F1023_V70_D0117_P4\\satellite\\F1023_V70_D0117_P4_satellite_elevation_timeseries.csv""]",nav_sage_pipeline,,nav_sage_v2,1,not_recorded,,bffc123c97af77f0a797f417d3866e9a34feab7729c5c1575352f53bc3571b9c,2026-08-21T01:18:17Z,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G25,3038eaab6b5c572658ac8a3e76c9c4a7b89e051b19cee3e7afa6837ea2ef28e2,sage-event-path-db-v1/ingest-v1,complete,complete,complete,complete,complete,complete,895,893,893,112,36,16,2,58,76,60,4,4,2,2,pass,0,windows_unattended_F1023_V70_D0117_P4__G25_20260819T004818Z_008,093012793dcb92b40aaa1d7bcd4b131ea3850683fcceca1d4c6d77acd392614c,E:\GNSS_Multipath_Project\docs\10MHz_FULL_SAGE_UNATTENDED_BATCH_20260819_QA_REPORT.md,E:\GNSS_Multipath_Project\dataset_generation_logs\batch_sage_execution\batch_sage_execution_20260821T011807Z\batch_execution_log.csv,77c20c0ed6c84fa0348db429948a8bd4900b2e8d86a6d8843b159b9a7a35cf00,af368feba90797584d7690d4927ed32de604651a5a62662f4adce348a89e4bb4,validated_only,A_pipeline_validation_batch,0,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2,F1023_V70_D0117_P4,standard_scene,G28,G,28,6,GPS_L1_CA,10230000,external_storage_or_scene_local,E:\AAGNSSSDR_input\raw_data\F1023_V70_D0117_P4.bin,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P4\gnss_sdr\tracking\F1023_V70_D0117_P4_track_ch_6.mat,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P4\gnss_sdr\telemetry\F1023_V70_D0117_P4_telemetry_ch_6.dat,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P4\navigation\rinex_nav\RINEXFILE.26N,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P4\trajectory\F1023_V70_D0117_P4_trajectory.nmea,"[""E:\\GNSS_Multipath_Project\\scenes\\F1023_V70_D0117_P4\\satellite\\F1023_V70_D0117_P4_satellite_elevation_summary.csv"", ""E:\\GNSS_Multipath_Project\\scenes\\F1023_V70_D0117_P4\\satellite\\F1023_V70_D0117_P4_satellite_elevation_timeseries.csv""]",nav_sage_pipeline,,nav_sage_v2,1,not_recorded,,bffc123c97af77f0a797f417d3866e9a34feab7729c5c1575352f53bc3571b9c,2026-08-21T02:53:57Z,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28,d95df0cbf665bf4e8918497b0c94bc0f2ae0626e00d758b90ce56e65f3ce3d3e,sage-event-path-db-v1/ingest-v1,complete,complete,complete,complete,complete,complete,895,893,893,117,43,3,34,37,74,71,7,7,0,0,pass,0,windows_unattended_F1023_V70_D0117_P4__G28_20260819T004818Z_009,1c8437e0b021b48eb1ec1c3ca068bb7c284452b2b89d89e342be0ca17934cde4,E:\GNSS_Multipath_Project\docs\10MHz_FULL_SAGE_UNATTENDED_BATCH_20260819_QA_REPORT.md,E:\GNSS_Multipath_Project\dataset_generation_logs\batch_sage_execution\batch_sage_execution_20260821T025347Z\batch_execution_log.csv,77c20c0ed6c84fa0348db429948a8bd4900b2e8d86a6d8843b159b9a7a35cf00,af368feba90797584d7690d4927ed32de604651a5a62662f4adce348a89e4bb4,validated_only,A_pipeline_validation_batch,0,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2,F1023_V70_D0117_P4,standard_scene,G29,G,29,9,GPS_L1_CA,10230000,external_storage_or_scene_local,E:\AAGNSSSDR_input\raw_data\F1023_V70_D0117_P4.bin,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P4\gnss_sdr\tracking\F1023_V70_D0117_P4_track_ch_9.mat,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P4\gnss_sdr\telemetry\F1023_V70_D0117_P4_telemetry_ch_9.dat,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P4\navigation\rinex_nav\RINEXFILE.26N,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P4\trajectory\F1023_V70_D0117_P4_trajectory.nmea,"[""E:\\GNSS_Multipath_Project\\scenes\\F1023_V70_D0117_P4\\satellite\\F1023_V70_D0117_P4_satellite_elevation_summary.csv"", ""E:\\GNSS_Multipath_Project\\scenes\\F1023_V70_D0117_P4\\satellite\\F1023_V70_D0117_P4_satellite_elevation_timeseries.csv""]",nav_sage_pipeline,,nav_sage_v2,1,not_recorded,,bffc123c97af77f0a797f417d3866e9a34feab7729c5c1575352f53bc3571b9c,2026-08-21T04:32:26Z,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29,8e271bc6a641fe8fd20a0aae6975f4cab1600397a592060130eae9999c8fea62,sage-event-path-db-v1/ingest-v1,complete,complete,complete,complete,complete,complete,895,893,893,105,42,6,22,35,63,57,12,8,1,1,pass,0,windows_unattended_F1023_V70_D0117_P4__G29_20260819T004818Z_010,81e065e5d7bfbaf14b732078623f2e0407c3f08b9814948bc6e6d5226bfe6619,E:\GNSS_Multipath_Project\docs\10MHz_FULL_SAGE_UNATTENDED_BATCH_20260819_QA_REPORT.md,E:\GNSS_Multipath_Project\dataset_generation_logs\batch_sage_execution\batch_sage_execution_20260821T043215Z\batch_execution_log.csv,77c20c0ed6c84fa0348db429948a8bd4900b2e8d86a6d8843b159b9a7a35cf00,af368feba90797584d7690d4927ed32de604651a5a62662f4adce348a89e4bb4,validated_only,A_pipeline_validation_batch,0,eligible_pending_modeling_qa,sage-event-path-db-v1
