label_id,event_id,run_id,label_scope,label_value,label_source,label_rule_version,review_status,label_notes,modeling_eligibility,schema_version
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_964__rejected_candidate,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_964,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,event,rejected_candidate,stage4_rule,stage4-strict-confirmed-v1,algorithm_only,"strict Stage4 rule; zero multipath is rejected_candidate, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_327__rejected_candidate,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_327,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,event,rejected_candidate,stage4_rule,stage4-strict-confirmed-v1,algorithm_only,"strict Stage4 rule; zero multipath is rejected_candidate, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_329__rejected_candidate,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_329,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,event,rejected_candidate,stage4_rule,stage4-strict-confirmed-v1,algorithm_only,"strict Stage4 rule; zero multipath is rejected_candidate, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_994__rejected_candidate,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_994,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,event,rejected_candidate,stage4_rule,stage4-strict-confirmed-v1,algorithm_only,"strict Stage4 rule; zero multipath is rejected_candidate, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1077__rejected_candidate,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1077,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,event,rejected_candidate,stage4_rule,stage4-strict-confirmed-v1,algorithm_only,"strict Stage4 rule; zero multipath is rejected_candidate, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1078__rejected_candidate,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1078,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,event,rejected_candidate,stage4_rule,stage4-strict-confirmed-v1,algorithm_only,"strict Stage4 rule; zero multipath is rejected_candidate, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1186__rejected_candidate,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1186,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,event,rejected_candidate,stage4_rule,stage4-strict-confirmed-v1,algorithm_only,"strict Stage4 rule; zero multipath is rejected_candidate, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1187__rejected_candidate,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1187,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,event,rejected_candidate,stage4_rule,stage4-strict-confirmed-v1,algorithm_only,"strict Stage4 rule; zero multipath is rejected_candidate, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_348__rejected_candidate,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_348,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,event,rejected_candidate,stage4_rule,stage4-strict-confirmed-v1,algorithm_only,"strict Stage4 rule; zero multipath is rejected_candidate, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_349__rejected_candidate,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_349,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,event,rejected_candidate,stage4_rule,stage4-strict-confirmed-v1,algorithm_only,"strict Stage4 rule; zero multipath is rejected_candidate, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
