label_id,run_id,scene_id,prn,label_scope,label_value,label_source,label_rule_version,review_status,label_notes,modeling_eligibility,schema_version
F1023_V120_D0121_P2__G25__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__no_confirmed_event,F1023_V120_D0121_P2__G25__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2,G25,run,no_confirmed_event,operational_state,stage4-strict-confirmed-v1,algorithm_only,"zero confirmed event is coverage state, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V120_D0121_P2__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__no_confirmed_event,F1023_V120_D0121_P2__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2,G28,run,no_confirmed_event,operational_state,stage4-strict-confirmed-v1,algorithm_only,"zero confirmed event is coverage state, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V120_D0121_P2__G32__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__no_confirmed_event,F1023_V120_D0121_P2__G32__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V120_D0121_P2,G32,run,no_confirmed_event,operational_state,stage4-strict-confirmed-v1,algorithm_only,"zero confirmed event is coverage state, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G11__ch10__nav_sage_v2__ingestion_20260825_event_path_v1__no_confirmed_event,F1023_v50_D0127_P1__G11__ch10__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G11,run,no_confirmed_event,operational_state,stage4-strict-confirmed-v1,algorithm_only,"zero confirmed event is coverage state, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G28__ch4__nav_sage_v2__ingestion_20260825_event_path_v1__no_confirmed_event,F1023_v50_D0127_P1__G28__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G28,run,no_confirmed_event,operational_state,stage4-strict-confirmed-v1,algorithm_only,"zero confirmed event is coverage state, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__no_confirmed_event,F1023_v50_D0127_P1__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G29,run,no_confirmed_event,operational_state,stage4-strict-confirmed-v1,algorithm_only,"zero confirmed event is coverage state, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__no_confirmed_event,F1023_v50_D0127_P1__G31__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v50_D0127_P1,G31,run,no_confirmed_event,operational_state,stage4-strict-confirmed-v1,algorithm_only,"zero confirmed event is coverage state, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__confirmed_multipath,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,run,confirmed_multipath,stage4_rule,stage4-strict-confirmed-v1,algorithm_only,,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__no_confirmed_event,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,run,no_confirmed_event,operational_state,stage4-strict-confirmed-v1,algorithm_only,"zero confirmed event is coverage state, not physical LOS",eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__confirmed_multipath,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,run,confirmed_multipath,stage4_rule,stage4-strict-confirmed-v1,algorithm_only,,eligible_pending_modeling_qa,sage-event-path-db-v1
