parameter_set_id,parameter_version,event_id,run_id,scene_id,prn,center_window_id,event_utc,environment_class,special_condition,road_type,elevation_deg,elevation_band,environment_modeling_ready,elevation_modeling_ready,confirmed_path_count,elevation_modeling_ready_path_count,max_excess_delay_chips,median_excess_delay_chips,mean_excess_delay_chips,max_excess_delay_s,max_excess_path_length_m,min_relative_doppler_hz,max_relative_doppler_hz,relative_doppler_span_hz,median_relative_doppler_hz,min_relative_power_db,max_relative_power_db,median_relative_power_db,parameter_source_status
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_640,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2,G11,640,2026-01-17T11:48:30.780Z,Mountain/Valley,valley terrain,valley road,31,MID,1,1,1,1,0.11,0.11,0.11,1.0752688172e-07,32.235748172,-10.0131071441,-10.0131071441,0,-10.0131071441,-7.40707303905,-7.40707303905,-7.40707303905,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_970,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2,G12,970,2026-01-17T11:48:37.380Z,Mountain/Valley,valley terrain,valley road,59,MID,1,1,1,1,0.11,0.11,0.11,1.0752688172e-07,32.235748172,24.4273194847,24.4273194847,0,24.4273194847,-15.9205381372,-15.9205381372,-15.9205381372,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_971,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2,G12,971,2026-01-17T11:48:37.400Z,Mountain/Valley,valley terrain,valley road,59,MID,1,1,1,1,0.11,0.11,0.11,1.0752688172e-07,32.235748172,-0.599714753363,-0.599714753363,0,-0.599714753363,-5.11357332638,-5.11357332638,-5.11357332638,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0117_P2__G29__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_80,F1023_V70_D0117_P2__G29__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2,G29,80,2026-01-17T11:48:19.580Z,Mountain/Valley,valley terrain,valley road,41,MID,1,1,1,1,0.11,0.11,0.11,1.0752688172e-07,32.235748172,-5.33569790472,-5.33569790472,0,-5.33569790472,-3.15175805378,-3.15175805378,-3.15175805378,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1__event_82,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2,G32,82,2026-01-17T11:48:19.620Z,Mountain/Valley,valley terrain,valley road,36,MID,1,1,2,2,0.25,0.18,0.18,2.44379276637e-07,73.2630640274,-65.3356979047,19.6643020953,85,-22.8356979047,-19.5141130729,-11.3788478129,-15.4464804429,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1__event_84,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2,G32,84,2026-01-17T11:48:19.660Z,Mountain/Valley,valley terrain,valley road,36,MID,1,1,1,1,0.11,0.11,0.11,1.0752688172e-07,32.235748172,14.6643020953,14.6643020953,0,14.6643020953,-8.83634983939,-8.83634983939,-8.83634983939,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_347,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,347,2026-01-17T12:18:36.920Z,Mountain/Valley,mountain ascending road,mountain ascending road,83,HIGH,1,1,1,1,0.12,0.12,0.12,1.17302052786e-07,35.1662707331,-4.50392352314,-4.50392352314,0,-4.50392352314,-8.64239900344,-8.64239900344,-8.64239900344,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_350,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,350,2026-01-17T12:18:36.980Z,Mountain/Valley,mountain ascending road,mountain ascending road,83,HIGH,1,1,1,1,0.1,0.1,0.1,9.77517106549e-08,29.3052256109,0.116515775417,0.116515775417,0,0.116515775417,-4.21749227646,-4.21749227646,-4.21749227646,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_348,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,348,2026-01-17T12:18:36.940Z,Mountain/Valley,mountain ascending road,mountain ascending road,56,MID,1,1,1,1,0.11,0.11,0.11,1.0752688172e-07,32.235748172,5.36955624354,5.36955624354,0,5.36955624354,-7.89405842982,-7.89405842982,-7.89405842982,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_357,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,357,2026-01-17T12:18:37.120Z,Mountain/Valley,mountain ascending road,mountain ascending road,28,LOW,1,1,1,1,0.11,0.11,0.11,1.0752688172e-07,32.235748172,-4.05839928035,-4.05839928035,0,-4.05839928035,-3.49096986532,-3.49096986532,-3.49096986532,complete
