parameter_set_id,parameter_version,event_path_id,event_id,run_id,scene_id,prn,tracking_channel,center_window_id,path_id,estimate_stage,path_role,is_multipath,label_value,event_utc,environment_class,special_condition,road_type,elevation_deg,elevation_band,azimuth_deg,nmea_snr_db_hz,geometry_join_valid,geometry_time_delta_s,environment_modeling_ready,elevation_modeling_ready,excess_delay_samples,excess_delay_chips,excess_delay_s,excess_path_length_m,doppler_offset_hz,relative_doppler_hz,relative_power_db,source_power_field,source_file,source_file_sha256,source_row_number,parameter_source_status
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_347__path_2,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_347,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,7,347,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-17T12:18:36.920Z,Mountain/Valley,mountain ascending road,mountain ascending road,83,HIGH,357,49,1,0.06,1,1,1.2,0.12,1.17302052786e-07,35.1662707331,-4.50392352314,-4.50392352314,-8.64239900344,mean_relative_power_db,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G25/stage4_joint_paths.csv,32da94c676a5edd60b503d517c002ddd46316396d9f0221a6848f0c68070458d,5,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_350__path_2,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_350,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G25,7,350,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-17T12:18:36.980Z,Mountain/Valley,mountain ascending road,mountain ascending road,83,HIGH,357,49,1,0,1,1,1,0.1,9.77517106549e-08,29.3052256109,0.116515775417,0.116515775417,-4.21749227646,mean_relative_power_db,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G25/stage4_joint_paths.csv,32da94c676a5edd60b503d517c002ddd46316396d9f0221a6848f0c68070458d,7,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_348__path_2,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_348,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,9,348,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-17T12:18:36.940Z,Mountain/Valley,mountain ascending road,mountain ascending road,56,MID,207,45,1,0.04,1,1,1.1,0.11,1.0752688172e-07,32.235748172,5.36955624354,5.36955624354,-7.89405842982,mean_relative_power_db,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,c368bf9b8eb768f46651a3057e954be651706bd9b07781075af5e222838fb52b,7,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_357__path_2,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_357,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,3,357,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-17T12:18:37.120Z,Mountain/Valley,mountain ascending road,mountain ascending road,28,LOW,250,46,1,0.14,1,1,1.1,0.11,1.0752688172e-07,32.235748172,-4.05839928035,-4.05839928035,-3.49096986532,mean_relative_power_db,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G32/stage4_joint_paths.csv,0883cc40f7054f1949c639e0a37524f003693a14a2e7f09e8514d597ec513c0e,6,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_76__path_2,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_76,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,3,76,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:21:19.500Z,Urban,high-rise buildings,urban road,74,HIGH,250,49,1,0.5,1,1,1.1,0.11,1.0752688172e-07,32.235748172,9.66430209529,9.66430209529,-8.1520128176,mean_relative_power_db,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G26/stage4_joint_paths.csv,d4748cee84f0aafa28bb783b30987ab0aaa47df178f52bb4535f42ad2c52f941,3,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_78__path_2,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_78,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,3,78,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:21:19.540Z,Urban,high-rise buildings,urban road,74,HIGH,250,49,1,0.46,1,1,1.1,0.11,1.0752688172e-07,32.235748172,9.66430209529,9.66430209529,-7.65772309879,mean_relative_power_db,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G26/stage4_joint_paths.csv,d4748cee84f0aafa28bb783b30987ab0aaa47df178f52bb4535f42ad2c52f941,6,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1218__path_2,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_1218,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,5,1218,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:21:42.340Z,Urban,high-rise buildings,urban road,34,MID,76,43,1,0.34,1,1,1.1,0.11,1.0752688172e-07,32.235748172,-1.18569544442,-1.18569544442,1.99172158788,mean_relative_power_db,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,d31578bcfa801d7f7e1877c6fae6985f0faa29d5c11c4ea86810f0461138d503,5,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2593__path_2,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2593,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,5,2593,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:22:09.840Z,Urban,high-rise buildings,urban road,33,MID,76,44,1,0.84,1,1,1.1,0.11,1.0752688172e-07,32.235748172,19.6643020953,19.6643020953,-8.37792084097,mean_relative_power_db,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,d31578bcfa801d7f7e1877c6fae6985f0faa29d5c11c4ea86810f0461138d503,10,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2594__path_2,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_2594,F1023_V70_D0120_P1__G29__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G29,5,2594,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:22:09.860Z,Urban,high-rise buildings,urban road,33,MID,76,44,1,0.86,1,1,1.2,0.12,1.17302052786e-07,35.1662707331,4.66430209529,4.66430209529,-2.10703189943,mean_relative_power_db,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,d31578bcfa801d7f7e1877c6fae6985f0faa29d5c11c4ea86810f0461138d503,12,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_784__path_2,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_784,F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,9,784,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:22:03.660Z,Urban,high-rise buildings,urban road,34,MID,228,44,1,0.34,1,1,1,0.1,9.77517106549e-08,29.3052256109,12.8859841776,12.8859841776,-10.2137455218,mean_relative_power_db,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,57b0b3f41bd22841b1ec64efd86131f463021a2ca6970b72c2e01132f154d055,5,complete
