severity,issue_code,event_path_id,event_id,scene_id,prn,detail,action,parameter_version
warning,elevation_context_unavailable,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_124__path_2,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_124,F1023_V70_D0120_P5,G26,geometry_join_status=inconclusive,retain_environment_parameter_exclude_elevation_summary,stage4-confirmed-path-parameters-v1
warning,elevation_context_unavailable,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_286__path_2,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_286,F1023_V70_D0120_P5,G26,geometry_join_status=inconclusive,retain_environment_parameter_exclude_elevation_summary,stage4-confirmed-path-parameters-v1
warning,elevation_context_unavailable,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_594__path_2,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_594,F1023_V70_D0122_P2,G12,geometry_join_status=unavailable,retain_environment_parameter_exclude_elevation_summary,stage4-confirmed-path-parameters-v1
warning,elevation_context_unavailable,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_535__path_2,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_535,F1023_V70_D0122_P2,G12,geometry_join_status=unavailable,retain_environment_parameter_exclude_elevation_summary,stage4-confirmed-path-parameters-v1
warning,elevation_context_unavailable,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_653__path_2,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_653,F1023_V70_D0122_P2,G12,geometry_join_status=unavailable,retain_environment_parameter_exclude_elevation_summary,stage4-confirmed-path-parameters-v1
warning,elevation_context_unavailable,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_653__path_3,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_653,F1023_V70_D0122_P2,G12,geometry_join_status=unavailable,retain_environment_parameter_exclude_elevation_summary,stage4-confirmed-path-parameters-v1
warning,elevation_context_unavailable,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_694__path_2,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_694,F1023_V70_D0122_P2,G12,geometry_join_status=unavailable,retain_environment_parameter_exclude_elevation_summary,stage4-confirmed-path-parameters-v1
warning,elevation_context_unavailable,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_694__path_3,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_694,F1023_V70_D0122_P2,G12,geometry_join_status=unavailable,retain_environment_parameter_exclude_elevation_summary,stage4-confirmed-path-parameters-v1
warning,elevation_context_unavailable,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_848__path_2,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_848,F1023_V70_D0122_P2,G12,geometry_join_status=unavailable,retain_environment_parameter_exclude_elevation_summary,stage4-confirmed-path-parameters-v1
warning,elevation_context_unavailable,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_471__path_2,F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1__event_471,F1023_V70_D0122_P2,G12,geometry_join_status=unavailable,retain_environment_parameter_exclude_elevation_summary,stage4-confirmed-path-parameters-v1
