task_id,scene,environment,PRN,channel,sample_rate_hz,run_class,evidence_tier,scientific_usable,production_accepted,full_pipeline_complete,Stage0_valid_windows,Stage0_valid_symbols,observation_duration_s,Stage1_scanned,Stage1_selected,Stage2_evaluations,Stage3_reliable_centers,Stage4_joint_rows,Stage4_joint_valid_rows,confirmed_events,confirmed_paths,path_artifact,QA_status,provenance_status,source_QA_report,inclusion_reason,exclusion_reason
F1023_V120_D0121_P2__G11__ch0__nav_sage_v2,F1023_V120_D0121_P2,Highway/Open,G11,ch0,10230000,Wave-2A_validation,Tier B,yes,no,yes,15210,15224,361.115851906158,15210,67,268,0,0,0,0,0,E:\GNSS_Multipath_Project\scenes\F1023_V120_D0121_P2\sage_results\nav_sage_v2\G11\stage4_joint_paths.csv,PASS,run_context_present_and_stage_outputs_present,docs/WAVE2A_G11_QA_REPORT.md,Stage0-Stage4 artifacts present; scientific tier assigned from current QA/production records,
F1023_v50_D0127_P1__G25__ch0__nav_sage_v2,F1023_v50_D0127_P1,Urban,G25,ch0,10230000,Wave-A_validation,Tier B,yes,no,yes,2339,2343,47.9802179863148,2339,106,424,0,0,0,0,0,E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\sage_results\nav_sage_v2\G25\stage4_joint_paths.csv,PASS,run_context_present_and_stage_outputs_present,docs/WAVEA_G25_QA_REPORT.md,Stage0-Stage4 artifacts present; scientific tier assigned from current QA/production records,
F1023_V70_D0117_P2__G06__legacy_v1,F1023_V70_D0117_P2,Mountain/Valley,G06,ch4,10230000,reference_legacy,Tier C,yes_bounded_validation,no,yes,319,321,6.4000260997068,319,95,380,2,2,2,2,4,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\G06_nav_sage_v1\stage4_joint_paths.csv,VALIDATED_HISTORICAL,run_context_missing_legacy_stage_outputs_present,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,Stage0-Stage4 artifacts present; scientific tier assigned from current QA/production records,Excluded from primary environment comparison: historical/contract provenance caveat
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,Mountain/Valley,G11,ch5,10230000,reference_validation,Tier B,yes,no,yes,1175,1177,23.5200569892473,1175,101,404,7,7,7,1,1,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\nav_sage_v2\G11\stage4_joint_paths.csv,VALIDATED,run_context_present_and_stage_outputs_present,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,Stage0-Stage4 artifacts present; scientific tier assigned from current QA/production records,
F1023_V70_D0117_P2__G12__ch6__nav_sage_v2,F1023_V70_D0117_P2,Mountain/Valley,G12,ch6,10230000,reference_validation,Tier B,yes,no,yes,1175,1177,23.5201046920821,1175,96,384,4,4,4,2,2,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\nav_sage_v2\G12\stage4_joint_paths.csv,VALIDATED,run_context_present_and_stage_outputs_present,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,Stage0-Stage4 artifacts present; scientific tier assigned from current QA/production records,
F1023_V70_D0117_P2__G25__ch0__nav_sage_v2,F1023_V70_D0117_P2,Mountain/Valley,G25,ch0,10230000,reference_validation,Tier B,yes,no,yes,1175,1177,23.5200656891495,1175,52,208,0,0,0,0,0,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\nav_sage_v2\G25\stage4_joint_paths.csv,VALIDATED,run_context_present_and_stage_outputs_present,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,Stage0-Stage4 artifacts present; scientific tier assigned from current QA/production records,
F1023_V70_D0117_P2__G28__ch1__nav_sage_v2,F1023_V70_D0117_P2,Mountain/Valley,G28,ch1,10230000,reference_validation,Tier B,yes,no,yes,898,900,17.9800241446725,898,54,216,2,2,2,0,0,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\nav_sage_v2\G28\stage4_joint_paths.csv,VALIDATED,run_context_present_and_stage_outputs_present,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,Stage0-Stage4 artifacts present; scientific tier assigned from current QA/production records,
F1023_V70_D0117_P2__G29__ch7__nav_sage_v2,F1023_V70_D0117_P2,Mountain/Valley,G29,ch7,10230000,reference_validation,Tier B,yes,no,yes,1175,1177,23.5200332355816,1175,77,308,1,1,1,1,1,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\nav_sage_v2\G29\stage4_joint_paths.csv,VALIDATED,run_context_present_and_stage_outputs_present,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,Stage0-Stage4 artifacts present; scientific tier assigned from current QA/production records,
F1023_V70_D0117_P2__G32__ch11__nav_sage_v2,F1023_V70_D0117_P2,Mountain/Valley,G32,ch11,10230000,reference_validation,Tier B,yes,no,yes,1175,1177,23.5200927663734,1175,117,468,11,8,8,2,3,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\nav_sage_v2\G32\stage4_joint_paths.csv,VALIDATED,run_context_present_and_stage_outputs_present,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,Stage0-Stage4 artifacts present; scientific tier assigned from current QA/production records,
F1023_V70_D0117_P4__G11__ch2__nav_sage_v2,F1023_V70_D0117_P4,Mountain/Valley,G11,ch2,10230000,A1_accepted_production,Tier A,yes,yes,yes,893,895,17.8800542521994,893,110,440,8,8,8,3,3,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P4\sage_results\nav_sage_v2\G11\stage4_joint_paths.csv,PASS,run_context_present_and_stage_outputs_present,docs/10MHz_FULL_SAGE_PRODUCTION_A1_G11_QA_REPORT.md,Stage0-Stage4 artifacts present; scientific tier assigned from current QA/production records,
