task_id,scene,environment,PRN,channel,event_id,window_id,path_id,excess_delay_samples,excess_delay_chips,relative_doppler_hz,absolute_relative_doppler_hz,relative_power_db,source_event_maximum_coherence,persistence_minimum_path_run,source_run_class,inclusion_tier,scientific_usable,production_accepted,source_QA_report,source_artifact_path
F1023_V70_D0117_P2__G06__legacy_v1,F1023_V70_D0117_P2,Mountain/Valley,G06,ch4,F1023_V70_D0117_P2__G06__legacy_v1__W203,203,2,1.6,0.16,149.664302095285,149.664302095285,18.1925666578273,0.332663568587033,3,reference_legacy,Tier C,yes_bounded_validation,no,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\G06_nav_sage_v1\stage4_joint_paths.csv
F1023_V70_D0117_P2__G06__legacy_v1,F1023_V70_D0117_P2,Mountain/Valley,G06,ch4,F1023_V70_D0117_P2__G06__legacy_v1__W203,203,3,2.6,0.26,199.664302095285,199.664302095285,6.90251779249983,0.332663568587033,3,reference_legacy,Tier C,yes_bounded_validation,no,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\G06_nav_sage_v1\stage4_joint_paths.csv
F1023_V70_D0117_P2__G06__legacy_v1,F1023_V70_D0117_P2,Mountain/Valley,G06,ch4,F1023_V70_D0117_P2__G06__legacy_v1__W203,203,4,8.3,0.83,149.664302095285,149.664302095285,7.10459556932589,0.332663568587033,3,reference_legacy,Tier C,yes_bounded_validation,no,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\G06_nav_sage_v1\stage4_joint_paths.csv
F1023_V70_D0117_P2__G06__legacy_v1,F1023_V70_D0117_P2,Mountain/Valley,G06,ch4,F1023_V70_D0117_P2__G06__legacy_v1__W264,264,2,3.9,0.39,159.664302095285,159.664302095285,22.0595478928251,0.0345984052988583,3,reference_legacy,Tier C,yes_bounded_validation,no,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\G06_nav_sage_v1\stage4_joint_paths.csv
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,Mountain/Valley,G11,ch5,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__W640,640,2,1.1,0.11,-10.0131071441147,10.0131071441147,-7.40707303905307,0.828953909618323,3,unclassified,Tier B,yes,no,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\nav_sage_v2\G11\stage4_joint_paths.csv
F1023_V70_D0117_P2__G12__ch6__nav_sage_v2,F1023_V70_D0117_P2,Mountain/Valley,G12,ch6,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__W970,970,2,1.1,0.11,24.4273194846846,24.4273194846846,-15.9205381372127,0.57707296631149,3,unclassified,Tier B,yes,no,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\nav_sage_v2\G12\stage4_joint_paths.csv
F1023_V70_D0117_P2__G12__ch6__nav_sage_v2,F1023_V70_D0117_P2,Mountain/Valley,G12,ch6,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__W971,971,2,1.1,0.11,-0.599714753362605,0.599714753362605,-5.11357332637876,0.886065263763938,3,unclassified,Tier B,yes,no,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\nav_sage_v2\G12\stage4_joint_paths.csv
F1023_V70_D0117_P2__G29__ch7__nav_sage_v2,F1023_V70_D0117_P2,Mountain/Valley,G29,ch7,F1023_V70_D0117_P2__G29__ch7__nav_sage_v2__W80,80,2,1.1,0.11,-5.33569790471529,5.33569790471529,-3.15175805378153,0.869766075861875,3,unclassified,Tier B,yes,no,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\nav_sage_v2\G29\stage4_joint_paths.csv
F1023_V70_D0117_P2__G32__ch11__nav_sage_v2,F1023_V70_D0117_P2,Mountain/Valley,G32,ch11,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__W82,82,2,1.1,0.11,19.6643020952852,19.6643020952852,-11.3788478128685,0.677379903430233,3,unclassified,Tier B,yes,no,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\nav_sage_v2\G32\stage4_joint_paths.csv
F1023_V70_D0117_P2__G32__ch11__nav_sage_v2,F1023_V70_D0117_P2,Mountain/Valley,G32,ch11,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__W82,82,3,2.5,0.25,-65.3356979047148,65.3356979047148,-19.5141130728681,0.677379903430233,3,unclassified,Tier B,yes,no,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\nav_sage_v2\G32\stage4_joint_paths.csv
F1023_V70_D0117_P2__G32__ch11__nav_sage_v2,F1023_V70_D0117_P2,Mountain/Valley,G32,ch11,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__W84,84,2,1.1,0.11,14.6643020952852,14.6643020952852,-8.83634983938613,0.766090552367406,3,unclassified,Tier B,yes,no,scenes/F1023_V70_D0117_P2/sage_results/reference_scene_final_validation_report.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P2\sage_results\nav_sage_v2\G32\stage4_joint_paths.csv
F1023_V70_D0117_P4__G11__ch2__nav_sage_v2,F1023_V70_D0117_P4,Mountain/Valley,G11,ch2,F1023_V70_D0117_P4__G11__ch2__nav_sage_v2__W526,526,2,1.1,0.11,-9.50258948890132,9.50258948890132,-9.93285782072306,0.83454821898435,3,unclassified,Tier A,yes,yes,docs/10MHz_FULL_SAGE_PRODUCTION_A1_G11_QA_REPORT.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P4\sage_results\nav_sage_v2\G11\stage4_joint_paths.csv
