task_id,scene_id,PRN,tracking_channel,sample_rate_hz,environment_class,geometry_context,event_id,window_id,event_time_seconds,confirmed_status,confirmation_rule,joint_selected_L,path_id,delay_samples,delay_chips,delay_chips_provenance,excess_delay_samples,excess_delay_chips,relative_doppler_hz,relative_power_db,source_event_maximum_coherence,geometry_alignment_status,geometry_candidate_utc_time,geometry_candidate_elevation_deg,geometry_candidate_azimuth_deg,geometry_candidate_snr_db_hz,geometry_candidate_elevation_group,geometry_join_abs_error_s,geometry_join_note,source_QA_report,source_stage4_summary,source_stage4_paths,source_stage0_windows,source_geometry_timeseries
F1023_V70_D0120_P9__G05__ch10__nav_sage_v2,F1023_V70_D0120_P9,G05,ch10,10230000,Special Reflective,scene-level LOW planning context,T1-1_G05_W493,493,40.3799649071359,confirmed_stage4_path,"joint_valid=1 AND joint_multipath_count>0 AND matching stage4_joint_paths.is_multipath=1",2,2,0.8,0.08,"derived as delay_samples*1.023e6/1.023e7; not a stored Stage4 field",1.1,0.11,11.7153663155214,-8.4373821093183,0.808379706131809,PARTIAL,2026-01-20T15:35:40.000Z,20.000,41.000,44.000,Low,0.16,"Provisional nearest NMEA_GSV row after TOW->UTC diagnostic mapping; GPS-UTC bridge is not frozen in production provenance",E:\GNSS_Multipath_Project\docs\10MHz_FULL_SAGE_PRODUCTION_T1_1_G05_QA_REPORT.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0120_P9\sage_results\nav_sage_v2\G05\stage4_joint_summary.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0120_P9\sage_results\nav_sage_v2\G05\stage4_joint_paths.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0120_P9\sage_results\nav_sage_v2\G05\stage0_valid_40ms_windows.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0120_P9\satellite\F1023_V70_D0120_P9_satellite_elevation_timeseries.csv
F1023_V70_D0120_P9__G05__ch10__nav_sage_v2,F1023_V70_D0120_P9,G05,ch10,10230000,Special Reflective,scene-level LOW planning context,T1-1_G05_W495,495,40.4199650048876,confirmed_stage4_path,"joint_valid=1 AND joint_multipath_count>0 AND matching stage4_joint_paths.is_multipath=1",2,2,0.7,0.07,"derived as delay_samples*1.023e6/1.023e7; not a stored Stage4 field",1.2,0.12,11.9467793930344,-4.11970433692207,0.793658893110847,PARTIAL,2026-01-20T15:35:40.000Z,20.000,41.000,44.000,Low,0.12,"Provisional nearest NMEA_GSV row after TOW->UTC diagnostic mapping; GPS-UTC bridge is not frozen in production provenance",E:\GNSS_Multipath_Project\docs\10MHz_FULL_SAGE_PRODUCTION_T1_1_G05_QA_REPORT.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0120_P9\sage_results\nav_sage_v2\G05\stage4_joint_summary.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0120_P9\sage_results\nav_sage_v2\G05\stage4_joint_paths.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0120_P9\sage_results\nav_sage_v2\G05\stage0_valid_40ms_windows.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0120_P9\satellite\F1023_V70_D0120_P9_satellite_elevation_timeseries.csv
F1023_V80_D0117_P8__G25__ch10__nav_sage_v2,F1023_V80_D0117_P8,G25,ch10,10230000,Highway/Open,scene-level HIGH planning context,T1-2_G25_W985,985,60.5369477028348,confirmed_stage4_path,"joint_valid=1 AND joint_multipath_count>0 AND matching stage4_joint_paths.is_multipath=1",2,2,1.2,0.12,"derived as delay_samples*1.023e6/1.023e7; not a stored Stage4 field",1.1,0.11,-4.71590730637763,-7.85260728700885,0.873362888782401,PARTIAL,2026-01-17T12:41:07.990Z,79.000,65.000,49.000,High,0.31,"Provisional nearest NMEA_GSV row after TOW->UTC diagnostic mapping; GPS-UTC bridge is not frozen in production provenance",E:\GNSS_Multipath_Project\docs\10MHz_FULL_SAGE_PRODUCTION_T1_2_G25_QA_REPORT.md,E:\GNSS_Multipath_Project\scenes\F1023_V80_D0117_P8\sage_results\nav_sage_v2\G25\stage4_joint_summary.csv,E:\GNSS_Multipath_Project\scenes\F1023_V80_D0117_P8\sage_results\nav_sage_v2\G25\stage4_joint_paths.csv,E:\GNSS_Multipath_Project\scenes\F1023_V80_D0117_P8\sage_results\nav_sage_v2\G25\stage0_valid_40ms_windows.csv,E:\GNSS_Multipath_Project\scenes\F1023_V80_D0117_P8\satellite\F1023_V80_D0117_P8_satellite_elevation_timeseries.csv
F1023_V80_D0117_P8__G25__ch10__nav_sage_v2,F1023_V80_D0117_P8,G25,ch10,10230000,Highway/Open,scene-level HIGH planning context,T1-2_G25_W970,970,60.236946627566,confirmed_stage4_path,"joint_valid=1 AND joint_multipath_count>0 AND matching stage4_joint_paths.is_multipath=1",2,2,1.5,0.15,"derived as delay_samples*1.023e6/1.023e7; not a stored Stage4 field",1.2,0.12,-10.7135060437722,-11.387872918357,0.808916244409003,PARTIAL,2026-01-17T12:41:06.990Z,79.000,65.000,48.000,High,0.39,"Provisional nearest NMEA_GSV row after TOW->UTC diagnostic mapping; GPS-UTC bridge is not frozen in production provenance",E:\GNSS_Multipath_Project\docs\10MHz_FULL_SAGE_PRODUCTION_T1_2_G25_QA_REPORT.md,E:\GNSS_Multipath_Project\scenes\F1023_V80_D0117_P8\sage_results\nav_sage_v2\G25\stage4_joint_summary.csv,E:\GNSS_Multipath_Project\scenes\F1023_V80_D0117_P8\sage_results\nav_sage_v2\G25\stage4_joint_paths.csv,E:\GNSS_Multipath_Project\scenes\F1023_V80_D0117_P8\sage_results\nav_sage_v2\G25\stage0_valid_40ms_windows.csv,E:\GNSS_Multipath_Project\scenes\F1023_V80_D0117_P8\satellite\F1023_V80_D0117_P8_satellite_elevation_timeseries.csv
F1023_v90_D0117_P7__G11__ch6__nav_sage_v2,F1023_v90_D0117_P7,G11,ch6,10230000,Mountain/Valley,scene-level MID planning context,T1-3_G11_W1264,1264,60.4245609970675,confirmed_stage4_path,"joint_valid=1 AND joint_multipath_count>0 AND matching stage4_joint_paths.is_multipath=1",2,2,1,0.1,"derived as delay_samples*1.023e6/1.023e7; not a stored Stage4 field",1,0.1,-0.335697904714834,-5.77299469804057,0.899835522948105,PARTIAL,2026-01-17T12:37:30.990Z,35.000,69.000,42.000,Mid,0.31,"Provisional nearest NMEA_GSV row after TOW->UTC diagnostic mapping; GPS-UTC bridge is not frozen in production provenance",E:\GNSS_Multipath_Project\docs\10MHz_FULL_SAGE_PRODUCTION_T1_3_G11_QA_REPORT.md,E:\GNSS_Multipath_Project\scenes\F1023_v90_D0117_P7\sage_results\nav_sage_v2\G11\stage4_joint_summary.csv,E:\GNSS_Multipath_Project\scenes\F1023_v90_D0117_P7\sage_results\nav_sage_v2\G11\stage4_joint_paths.csv,E:\GNSS_Multipath_Project\scenes\F1023_v90_D0117_P7\sage_results\nav_sage_v2\G11\stage0_valid_40ms_windows.csv,E:\GNSS_Multipath_Project\scenes\F1023_v90_D0117_P7\satellite\F1023_v90_D0117_P7_satellite_elevation_timeseries.csv
F1023_V70_D0122_P2__G15__ch8__nav_sage_v2,F1023_V70_D0122_P2,G15,ch8,10230000,Special Reflective,scene-level Special Reflective; event-level geometry not assigned,SR2_G15_W1079,1079,48.1851454545455,confirmed_stage4_path,"joint_valid=1 AND joint_multipath_count>0 AND matching stage4_joint_paths.is_multipath=1",2,2,2,0.2,"derived as delay_samples*1.023e6/1.023e7; not a stored Stage4 field",1.4,0.14,31.5397446616225,-1.80956213069539,,PARTIAL,,,,,,,"No event-level TOW geometry join performed; scene-level NMEA_GSV provenance only; path-level coherence is not stored in the Stage4 path table",E:\GNSS_Multipath_Project\docs\vtc2027_spring\evidence\VTC_SPECIAL_REFLECTIVE_SUPPLEMENT_G15_QA_REPORT.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\sage_results\nav_sage_v2\G15\stage4_joint_summary.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\sage_results\nav_sage_v2\G15\stage4_joint_paths.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\sage_results\nav_sage_v2\G15\stage0_valid_40ms_windows.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\satellite\F1023_V70_D0122_P2_satellite_elevation_timeseries.csv
F1023_V70_D0122_P2__G15__ch8__nav_sage_v2,F1023_V70_D0122_P2,G15,ch8,10230000,Special Reflective,scene-level Special Reflective; event-level geometry not assigned,SR2_G15_W2167,2167,88.0253566959922,confirmed_stage4_path,"joint_valid=1 AND joint_multipath_count>0 AND matching stage4_joint_paths.is_multipath=1",2,2,2,0.2,"derived as delay_samples*1.023e6/1.023e7; not a stored Stage4 field",1.2,0.12,-31.5908908130405,-15.915910929625,,PARTIAL,,,,,,,No event-level TOW geometry join performed; scene-level NMEA_GSV provenance only; path-level coherence is not stored in the Stage4 path table,E:\GNSS_Multipath_Project\docs\vtc2027_spring\evidence\VTC_SPECIAL_REFLECTIVE_SUPPLEMENT_G15_QA_REPORT.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\sage_results\nav_sage_v2\G15\stage4_joint_summary.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\sage_results\nav_sage_v2\G15\stage4_joint_paths.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\sage_results\nav_sage_v2\G15\stage0_valid_40ms_windows.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\satellite\F1023_V70_D0122_P2_satellite_elevation_timeseries.csv
F1023_V70_D0122_P2__G15__ch8__nav_sage_v2,F1023_V70_D0122_P2,G15,ch8,10230000,Special Reflective,scene-level Special Reflective; event-level geometry not assigned,SR2_G15_W1080,1080,48.2051455522972,confirmed_stage4_path,"joint_valid=1 AND joint_multipath_count>0 AND matching stage4_joint_paths.is_multipath=1",2,2,2,0.2,"derived as delay_samples*1.023e6/1.023e7; not a stored Stage4 field",1.2,0.12,32.669775811979,-0.894023466898675,,PARTIAL,,,,,,,No event-level TOW geometry join performed; scene-level NMEA_GSV provenance only; path-level coherence is not stored in the Stage4 path table,E:\GNSS_Multipath_Project\docs\vtc2027_spring\evidence\VTC_SPECIAL_REFLECTIVE_SUPPLEMENT_G15_QA_REPORT.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\sage_results\nav_sage_v2\G15\stage4_joint_summary.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\sage_results\nav_sage_v2\G15\stage4_joint_paths.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\sage_results\nav_sage_v2\G15\stage0_valid_40ms_windows.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\satellite\F1023_V70_D0122_P2_satellite_elevation_timeseries.csv
F1023_V70_D0122_P2__G15__ch8__nav_sage_v2,F1023_V70_D0122_P2,G15,ch8,10230000,Special Reflective,scene-level Special Reflective; event-level geometry not assigned,SR2_G15_W1081,1081,48.2251456500489,confirmed_stage4_path,"joint_valid=1 AND joint_multipath_count>0 AND matching stage4_joint_paths.is_multipath=1",2,2,2,0.2,"derived as delay_samples*1.023e6/1.023e7; not a stored Stage4 field",1.7,0.17,33.7998069590485,-6.46223617047156,,PARTIAL,,,,,,,No event-level TOW geometry join performed; scene-level NMEA_GSV provenance only; path-level coherence is not stored in the Stage4 path table,E:\GNSS_Multipath_Project\docs\vtc2027_spring\evidence\VTC_SPECIAL_REFLECTIVE_SUPPLEMENT_G15_QA_REPORT.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\sage_results\nav_sage_v2\G15\stage4_joint_summary.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\sage_results\nav_sage_v2\G15\stage4_joint_paths.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\sage_results\nav_sage_v2\G15\stage0_valid_40ms_windows.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\satellite\F1023_V70_D0122_P2_satellite_elevation_timeseries.csv
F1023_V70_D0122_P2__G15__ch8__nav_sage_v2,F1023_V70_D0122_P2,G15,ch8,10230000,Special Reflective,scene-level Special Reflective; event-level geometry not assigned,SR2_G15_W2166,2166,88.0053565982405,confirmed_stage4_path,"joint_valid=1 AND joint_multipath_count>0 AND matching stage4_joint_paths.is_multipath=1",2,2,2,0.2,"derived as delay_samples*1.023e6/1.023e7; not a stored Stage4 field",1.5,0.15,38.7713679767876,-17.2994359360271,,PARTIAL,,,,,,,No event-level TOW geometry join performed; scene-level NMEA_GSV provenance only; path-level coherence is not stored in the Stage4 path table,E:\GNSS_Multipath_Project\docs\vtc2027_spring\evidence\VTC_SPECIAL_REFLECTIVE_SUPPLEMENT_G15_QA_REPORT.md,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\sage_results\nav_sage_v2\G15\stage4_joint_summary.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\sage_results\nav_sage_v2\G15\stage4_joint_paths.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\sage_results\nav_sage_v2\G15\stage0_valid_40ms_windows.csv,E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\satellite\F1023_V70_D0122_P2_satellite_elevation_timeseries.csv
