cell_id,n_components,status,rejection_reason,component_effective_mass,validation_nlpd,bic,validation_scenes,skipped_validation_scenes
Urban/LOW,1,fit_ok,,[7.999999999996],3.2258333804382593,59.26432652025889,F1023_V70_D0120_P1;F1023_V70_D0120_P8,F1023_V70_D0120_P5:insufficient_training_mass
Urban/LOW,2,rejected,component_effective_mass_below_5,"[4.038851273422133, 3.961148726573867]",,,,
Urban/MID,1,fit_ok,,[73.999999999978],5.006677889859529,695.2100766513596,F1023_V70_D0120_P1;F1023_V70_D0120_P7;F1023_V70_D0120_P8;F1023_V70_D0122_P1;F1023_v50_D0127_P1,
Urban/MID,2,rejected,component_effective_mass_below_5,"[2.0037344230392398, 71.99626557693882]",,,,
Urban/HIGH,1,fit_ok,,[63.999999999973],4.938228183647654,611.838336816378,F1023_V70_D0120_P1;F1023_V70_D0120_P5;F1023_V70_D0120_P7;F1023_V70_D0120_P8;F1023_V70_D0122_P1,
Urban/HIGH,2,fit_ok,,"[27.65039463646704, 36.34960536350597]",4.632548279176685,568.9332799654311,F1023_V70_D0120_P1;F1023_V70_D0120_P5;F1023_V70_D0120_P7;F1023_V70_D0120_P8;F1023_V70_D0122_P1,
Mountain/Valley/LOW,1,fit_ok,,[11.999999999996],4.7792221302252385,111.20702396005646,F1023_V70_D0117_P2;F1023_V70_D0117_P4;F1023_v90_D0117_P7,
Mountain/Valley/LOW,2,rejected,component_effective_mass_below_5,"[4.714351856821284, 7.285648143174716]",,,,
Mountain/Valley/MID,1,fit_ok,,[52.999999999975],4.498799936384347,487.29342025778203,F1023_V70_D0117_P2;F1023_V70_D0117_P4;F1023_v90_D0117_P7,
Mountain/Valley/MID,2,fit_ok,,"[20.262642820190194, 32.737357179784816]",3.8858525497673604,432.5261206851476,F1023_V70_D0117_P2;F1023_V70_D0117_P4;F1023_v90_D0117_P7,
Mountain/Valley/HIGH,1,fit_ok,,[14.999999999997],4.7919587034918,143.98942387880024,F1023_V70_D0117_P4,F1023_v90_D0117_P7:insufficient_training_mass
Mountain/Valley/HIGH,2,rejected,component_effective_mass_below_5,"[3.4960883334944906, 11.503911666502512]",,,,
