cell_id,n_components,status,rejection_reason,row_count,track_count,n_eff,component_effective_mass,mean_weighted_nlpd,validation_fold_count,validation_scenes,skipped_validation_scenes,bic
Urban/LOW,1,fit_ok,,18,8,14.769230769225087,[7.999999999996],3.7145235723982006,2,F1023_V70_D0120_P1;F1023_V70_D0120_P8,F1023_V70_D0120_P5:insufficient_training_mass,58.86832562518145
Urban/LOW,2,rejected,component_effective_mass_below_5,,,,"[3.82213960726836, 4.17786039272764]",,0,,,
Urban/LOW,3,rejected,component_effective_mass_below_5,,,,"[1.4979394631040812, 2.9985436653443434, 3.503516871547575]",,0,,,
Urban/MID,1,fit_ok,,169,74,125.64435946459474,[73.999999999978],5.607694373183555,5,F1023_V70_D0120_P1;F1023_V70_D0120_P7;F1023_V70_D0120_P8;F1023_V70_D0122_P1;F1023_v50_D0127_P1,,422.9792702859431
Urban/MID,2,fit_ok,,169,74,125.64435946459474,"[30.410787224546347, 43.58921277543167]",5.223418916329507,5,F1023_V70_D0120_P1;F1023_V70_D0120_P7;F1023_V70_D0120_P8;F1023_V70_D0122_P1;F1023_v50_D0127_P1,,394.46940673125755
Urban/MID,3,fit_ok,,169,74,125.64435946459474,"[26.59204340313027, 26.93190523726486, 20.476051359582886]",5.014832113894611,4,F1023_V70_D0120_P1;F1023_V70_D0120_P7;F1023_V70_D0120_P8;F1023_v50_D0127_P1,F1023_V70_D0122_P1:component_effective_mass_below_5,419.0843374894539
Urban/HIGH,1,fit_ok,,129,64,101.13580246909541,[63.999999999973],5.7520663816332025,5,F1023_V70_D0120_P1;F1023_V70_D0120_P5;F1023_V70_D0120_P7;F1023_V70_D0120_P8;F1023_V70_D0122_P1,,354.8961726992533
Urban/HIGH,2,fit_ok,,129,64,101.13580246909541,"[37.717642940516264, 26.282357059456736]",5.604421354239146,5,F1023_V70_D0120_P1;F1023_V70_D0120_P5;F1023_V70_D0120_P7;F1023_V70_D0120_P8;F1023_V70_D0122_P1,,366.33938018488243
Urban/HIGH,3,fit_ok,,129,64,101.13580246909541,"[10.601485908353258, 35.09088156336315, 18.3076325282566]",4.791679803115163,1,F1023_V70_D0120_P1,F1023_V70_D0120_P5:component_effective_mass_below_5;F1023_V70_D0120_P7:component_effective_mass_below_5;F1023_V70_D0120_P8:component_effective_mass_below_5;F1023_V70_D0122_P1:component_effective_mass_below_5,339.2804854521253
Mountain/Valley/LOW,1,fit_ok,,22,12,17.27999999999401,[11.999999999996],5.432524625120476,3,F1023_V70_D0117_P2;F1023_V70_D0117_P4;F1023_v90_D0117_P7,,79.10616517485168
Mountain/Valley/LOW,2,rejected,component_effective_mass_below_5,,,,"[7.537325454640409, 4.462674545355591]",,0,,,
Mountain/Valley/LOW,3,rejected,component_effective_mass_below_5,,,,"[8.02942945668411, 1.9705705433118912, 2.0]",,0,,,
Mountain/Valley/MID,1,fit_ok,,117,53,86.87628865975663,[52.999999999975],5.394081549462958,3,F1023_V70_D0117_P2;F1023_V70_D0117_P4;F1023_v90_D0117_P7,,297.8305582758866
Mountain/Valley/MID,2,fit_ok,,117,53,86.87628865975663,"[29.572735238535486, 23.4272647614395]",4.947935403509409,3,F1023_V70_D0117_P2;F1023_V70_D0117_P4;F1023_v90_D0117_P7,,311.8636610097817
Mountain/Valley/MID,3,rejected,component_effective_mass_below_5,,,,"[36.99999999998404, 13.999999999991, 2.0]",,0,,,
Mountain/Valley/HIGH,1,fit_ok,,32,15,23.07692307691858,[14.999999999997],6.469043383906638,1,F1023_V70_D0117_P4,F1023_v90_D0117_P7:insufficient_training_mass,98.89978003479757
Mountain/Valley/HIGH,2,fit_ok,,32,15,23.07692307691858,"[7.6303394597132455, 7.369660540283753]",7.536374873296585,1,F1023_V70_D0117_P4,F1023_v90_D0117_P7:insufficient_training_mass,97.30476148603924
Mountain/Valley/HIGH,3,rejected,component_effective_mass_below_5,,,,"[8.058851188426047, 1.9999171566458591, 4.941231654925095]",,0,,,
