cell_id,family,status,reason,row_count,track_count,n_eff,weighted_log_likelihood,bic,validation_nlpd,validation_ecdf_distance,validation_fold_count,validation_scenes,skipped_validation_scenes,parameters
Urban/LOW,single_gaussian_db,fit_ok,,18,8,14.769230769225087,-17.34879990983177,40.08269184879526,2.71430057378263,0.3103942996093423,2,F1023_V70_D0120_P1;F1023_V70_D0120_P8,F1023_V70_D0120_P5:insufficient_training_mass,"{""mean_db"": -3.3121913222031942, ""std_db"": 2.116283439257782}"
Urban/LOW,gaussian_mixture_db,rejected,component_effective_mass_below_5,18,8,,-16.12880382510153,,,,0,,,"{""means_db"": [-4.876642024530613, -1.1716901816008556], ""stds_db"": [1.2693927880702855, 0.6864943826395863], ""proportions"": [0.5777406107685594, 0.42225938923144063]}"
Urban/LOW,beta_linear_ratio,fit_ok,,18,8,14.769230769225087,-17.290422958710558,39.965937946552835,2.554098006961455,0.2881012969610187,2,F1023_V70_D0120_P1;F1023_V70_D0120_P8,F1023_V70_D0120_P5:insufficient_training_mass,"{""alpha"": 1.717092596938022, ""beta"": 1.5682947595047236}"
Urban/MID,single_gaussian_db,fit_ok,,169,74,125.64435946459474,-231.49887632153022,472.6646633873228,3.280745579758573,0.21154101364372674,5,F1023_V70_D0120_P1;F1023_V70_D0120_P7;F1023_V70_D0120_P8;F1023_V70_D0122_P1;F1023_v50_D0127_P1,,"{""mean_db"": -8.187916972351081, ""std_db"": 5.525781361665665}"
Urban/MID,gaussian_mixture_db,fit_ok,,169,74,125.64435946459474,-206.99362096989196,438.15451880043975,2.929567894096921,0.190793082749685,5,F1023_V70_D0120_P1;F1023_V70_D0120_P7;F1023_V70_D0120_P8;F1023_V70_D0122_P1;F1023_v50_D0127_P1,,"{""means_db"": [-13.04115257192137, -2.8463914172596145], ""stds_db"": [2.5462772060691745, 1.5966176641955077], ""proportions"": [0.523948082162665, 0.4760519178373351]}"
Urban/MID,beta_linear_ratio,fit_ok,,169,74,125.64435946459474,-228.51964971284374,466.7062101699498,3.054482108338421,0.19363389620651844,5,F1023_V70_D0120_P1;F1023_V70_D0120_P7;F1023_V70_D0120_P8;F1023_V70_D0122_P1;F1023_v50_D0127_P1,,"{""alpha"": 0.49608358717695844, ""beta"": 1.19009934928677}"
Urban/HIGH,single_gaussian_db,fit_ok,,129,64,101.13580246909541,-198.42567093919763,406.0842702636082,3.124247875999364,0.11462173562037212,5,F1023_V70_D0120_P1;F1023_V70_D0120_P5;F1023_V70_D0120_P7;F1023_V70_D0120_P8;F1023_V70_D0122_P1,,"{""mean_db"": -9.72130223367228, ""std_db"": 5.373409241935156}"
Urban/HIGH,gaussian_mixture_db,fit_ok,,129,64,101.13580246909541,-180.71765082255678,384.5176226081458,2.9074484261184055,0.09410787662753595,5,F1023_V70_D0120_P1;F1023_V70_D0120_P5;F1023_V70_D0120_P7;F1023_V70_D0120_P8;F1023_V70_D0122_P1,,"{""means_db"": [-13.44755461424248, -3.450974719671795], ""stds_db"": [2.7420836401288287, 1.4580305719624518], ""proportions"": [0.6272472765816646, 0.37275272341833554]}"
Urban/HIGH,beta_linear_ratio,fit_ok,,129,64,101.13580246909541,-203.3415228712897,415.9159741277923,3.205183033709839,0.11118218304769614,5,F1023_V70_D0120_P1;F1023_V70_D0120_P5;F1023_V70_D0120_P7;F1023_V70_D0120_P8;F1023_V70_D0122_P1,,"{""alpha"": 0.4836628880976795, ""beta"": 1.795755132672891}"
Mountain/Valley/LOW,single_gaussian_db,fit_ok,,22,12,17.27999999999401,-35.61598270575147,76.93106493825407,3.251833571313663,0.1986749876647932,3,F1023_V70_D0117_P2;F1023_V70_D0117_P4;F1023_v90_D0117_P7,,"{""mean_db"": -7.777354231619678, ""std_db"": 4.707043602036967}"
Mountain/Valley/LOW,gaussian_mixture_db,rejected,no_valid_scene_grouped_validation_fold,22,12,17.27999999999401,-32.250887687786275,78.74952419245037,,,0,,F1023_V70_D0117_P2:candidate_unavailable;F1023_V70_D0117_P4:candidate_unavailable;F1023_v90_D0117_P7:candidate_unavailable,"{""means_db"": [-12.471892476044996, -3.759301743298022], ""stds_db"": [1.8836732082555168, 1.7536300728486067], ""proportions"": [0.4611776923274362, 0.5388223076725638]}"
Mountain/Valley/LOW,beta_linear_ratio,fit_ok,,22,12,17.27999999999401,-35.172578504153435,76.044256535058,3.0480171306477075,0.19621870623686818,3,F1023_V70_D0117_P2;F1023_V70_D0117_P4;F1023_v90_D0117_P7,,"{""alpha"": 0.7276109242922416, ""beta"": 1.9326411668830126}"
Mountain/Valley/MID,single_gaussian_db,fit_ok,,117,53,86.87628865975663,-160.4837543710708,329.8964790166787,3.0267911910608305,0.06864677469711859,3,F1023_V70_D0117_P2;F1023_V70_D0117_P4;F1023_v90_D0117_P7,,"{""mean_db"": -9.61604397521693, ""std_db"": 4.998094962281864}"
Mountain/Valley/MID,gaussian_mixture_db,fit_ok,,117,53,86.87628865975663,-147.09818181262915,316.51878931160104,2.8235900075367937,0.05402311159466341,3,F1023_V70_D0117_P2;F1023_V70_D0117_P4;F1023_v90_D0117_P7,,"{""means_db"": [-13.322717326830317, -3.965035319391657], ""stds_db"": [2.0636720130298816, 1.9216287341520455], ""proportions"": [0.6038897935763516, 0.3961102064236481]}"
Mountain/Valley/MID,beta_linear_ratio,fit_ok,,117,53,86.87628865975663,-170.5886679905151,350.1063062555673,3.2190773157434562,0.08221564900465515,3,F1023_V70_D0117_P2;F1023_V70_D0117_P4;F1023_v90_D0117_P7,,"{""alpha"": 0.41418154757280723, ""beta"": 1.5847619970502826}"
Mountain/Valley/HIGH,single_gaussian_db,fit_ok,,32,15,23.07692307691858,-44.50743863179968,95.2925434979883,3.0324725673380306,0.1653929426747945,1,F1023_V70_D0117_P4,F1023_v90_D0117_P7:insufficient_training_mass,"{""mean_db"": -9.255724585241703, ""std_db"": 4.703110236255497}"
Mountain/Valley/HIGH,gaussian_mixture_db,fit_ok,,32,15,23.07692307691858,-37.14308346681413,89.98033251960061,3.0369954811441233,0.15681449109130294,1,F1023_V70_D0117_P4,F1023_v90_D0117_P7:insufficient_training_mass,"{""means_db"": [-13.438596313401254, -4.477501102530711], ""stds_db"": [1.3062242813480116, 1.6185047823429761], ""proportions"": [0.5332186937278177, 0.4667813062721823]}"
