scope,retained_path_count,cell_id,total_relative_power_linear_including_direct,weighted_mean_delay_samples,rms_delay_dispersion_samples,maximum_excess_delay_samples,run_id,center_window_id,group_id,environment_class,elevation_band,track_count_in_set
environment_only,2,Mountain/Valley,1.3331244743485413,0.4753548044537895,0.8374139468375158,2.8,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,317,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::317,Mountain/Valley,MID,2
environment_only,2,Mountain/Valley,1.9593101717633474,0.7717309689101899,0.8095023843585586,2.5,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,640,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::640,Mountain/Valley,MID,2
environment_only,2,Mountain/Valley,1.9055494584528716,0.6008262434478546,0.6536392172352857,2.2,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,641,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::641,Mountain/Valley,MID,2
environment_only,2,Mountain/Valley,1.7205519126107272,0.8275695452357215,0.9899107198396285,2.9,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,642,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::642,Mountain/Valley,MID,2
environment_only,2,Mountain/Valley,1.9729595944381555,0.5821800430053846,0.6203808445086709,2.1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,643,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::643,Mountain/Valley,MID,2
environment_only,2,Mountain/Valley,1.1421520218444743,0.24606659765726657,0.6746689088588433,2.6,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,730,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::730,Mountain/Valley,MID,2
environment_only,1,Mountain/Valley,1.2820312077623135,0.3079829012558969,0.579933267102566,1.4,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,769,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::769,Mountain/Valley,MID,1
environment_only,2,Mountain/Valley,2.0019715424593274,0.5883149918088351,0.6167300865784433,2.1,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,651,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::651,Mountain/Valley,MID,2
environment_only,3,Mountain/Valley,1.4691831150348131,0.6974135383055399,1.084278794680407,3.8,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,970,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::970,Mountain/Valley,MID,3
environment_only,3,Mountain/Valley,1.5296095357385833,0.731023155263849,1.052678832256309,3.9,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,971,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::971,Mountain/Valley,MID,3
