scope,cell_id,group_id,environment_class,elevation_band,rms_delay_dispersion_samples,track_balanced_group_weight
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::317,Mountain/Valley,MID,0.8374139468375158,2.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::640,Mountain/Valley,MID,0.8095023843585586,0.5
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::641,Mountain/Valley,MID,0.6536392172352857,0.5
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::642,Mountain/Valley,MID,0.9899107198396285,0.5
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::643,Mountain/Valley,MID,0.6203808445086709,0.5
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::730,Mountain/Valley,MID,0.6746689088588433,2.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1::769,Mountain/Valley,MID,0.579933267102566,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::651,Mountain/Valley,MID,0.6167300865784433,2.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::970,Mountain/Valley,MID,1.084278794680407,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::971,Mountain/Valley,MID,1.052678832256309,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::972,Mountain/Valley,MID,0.7127609847421594,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G28__ch1__nav_sage_v2__ingestion_20260825_event_path_v1::298,Mountain/Valley,LOW,0.6260291821512896,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G28__ch1__nav_sage_v2__ingestion_20260825_event_path_v1::693,Mountain/Valley,LOW,0.6023365466086631,2.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G29__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::80,Mountain/Valley,MID,0.24927090541199068,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::82,Mountain/Valley,MID,0.7906732575634898,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::83,Mountain/Valley,MID,0.8985455179473785,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::84,Mountain/Valley,MID,0.8190122057042263,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::143,Mountain/Valley,MID,0.9305997562887618,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::144,Mountain/Valley,MID,0.7100695441481386,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::145,Mountain/Valley,MID,0.8286539229940345,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::347,Mountain/Valley,MID,0.22064394895509845,0.5
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::349,Mountain/Valley,MID,0.16698863735079547,0.5
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::759,Mountain/Valley,MID,0.7400150100296649,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::760,Mountain/Valley,MID,0.8467070855016299,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1::761,Mountain/Valley,MID,0.8950703793813946,1.0
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::347,Mountain/Valley,HIGH,0.9052227785671324,0.75
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::348,Mountain/Valley,HIGH,0.9370497137809437,0.75
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::349,Mountain/Valley,HIGH,0.9314244946129735,0.75
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G25__ch7__nav_sage_v2__ingestion_20260825_event_path_v1::350,Mountain/Valley,HIGH,0.8413986304779197,0.75
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::18,Mountain/Valley,MID,0.7225308391429301,2.0
environment_only,Mountain/Valley,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1::58,Mountain/Valley,MID,0.7255444363885157,2.0
