cell_id,n_components,status,reason,weighted_log_likelihood,component_effective_mass,weighted_signed_doppler_mean_hz,positive_weight_fraction,negative_weight_fraction
Urban/LOW,1,fit_ok,,-22.49964656524552,[7.999999999996],-8.580066885480214,0.3749999999999375,0.6250000000000625
Urban/LOW,2,not_fit,insufficient_effective_mass,,,,,
Urban/LOW,3,not_fit,insufficient_effective_mass,,,,,
Urban/MID,1,fit_ok,,-209.9782044312712,[73.999999999978],12.279466041776942,0.5675675675675741,0.43243243243242596
Urban/MID,2,fit_ok,,-172.15604163598155,"[31.99245658873055, 42.00754341124747]",12.279466041776942,0.5675675675675741,0.43243243243242596
Urban/MID,3,fit_ok,,-154.30302807554574,"[19.393140266920366, 32.00257014815018, 22.60428958490746]",12.279466041776942,0.5675675675675741,0.43243243243242596
Urban/HIGH,1,fit_ok,,-181.56712526295397,[63.999999999973],1.2751450255826489,0.5026041666666184,0.4973958333333818
Urban/HIGH,2,fit_ok,,-153.5791085139258,"[32.88414630063973, 31.115853699333275]",1.2751450255826489,0.5026041666666184,0.4973958333333818
Urban/HIGH,3,fit_ok,,-134.65299200256996,"[14.768477805606757, 31.355989884786627, 17.875532309579633]",1.2751450255826489,0.5026041666666184,0.4973958333333818
Mountain/Valley/LOW,1,fit_ok,,-34.05352056576922,[11.999999999996],-29.63357989562082,0.24999999999991665,0.7500000000000834
Mountain/Valley/LOW,2,below_mass_threshold,component_effective_mass_below_5,-20.3711758477241,"[9.00000200603707, 2.9999979939589316]",-29.63357989562082,0.24999999999991665,0.7500000000000834
Mountain/Valley/LOW,3,not_fit,insufficient_effective_mass,,,,,
Mountain/Valley/MID,1,fit_ok,,-149.82308432530792,[52.999999999975],-12.343836504380219,0.39622641509431894,0.603773584905681
Mountain/Valley/MID,2,fit_ok,,-115.60324036508855,"[20.96420146040289, 32.03579853957212]",-12.343836504380219,0.39622641509431894,0.603773584905681
Mountain/Valley/MID,3,fit_ok,,-94.76510883149672,"[32.992096227563806, 10.903692603354491, 9.104211169056708]",-12.343836504380219,0.39622641509431894,0.603773584905681
Mountain/Valley/HIGH,1,fit_ok,,-42.48073476172918,[14.999999999997],1.572136451032152,0.5333333333333067,0.4666666666666933
Mountain/Valley/HIGH,2,fit_ok,,-40.29334855617906,"[9.166724383014644, 5.833275616982356]",1.572136451032152,0.5333333333333067,0.4666666666666933
Mountain/Valley/HIGH,3,not_fit,insufficient_effective_mass,,,,,
