candidate_index,component_count,pooling_kappa,scene_count,mean_weighted_nlpd,mean_energy_score,total_test_weight,status
0,1,4,9,4.05123352075,3.26991261426,236,VALID
1,1,8,9,4.04967655431,3.29879822445,236,VALID
2,1,16,9,4.0470130368,3.27882109774,236,VALID
3,1,32,9,4.0429379243,3.28367956607,236,VALID
4,2,4,9,3.44230575999,3.29882676361,236,VALID
5,2,8,9,3.4352162341,3.2813640213,236,VALID
6,2,16,9,3.42609993983,3.28148943737,236,VALID
7,2,32,9,3.41640442694,3.25168469953,236,VALID
8,3,4,9,3.28655528115,3.27828988858,236,VALID
9,3,8,9,3.26213173216,3.23166869641,236,VALID
10,3,16,9,3.25714935235,3.23978004675,236,VALID
11,3,32,9,3.37417699207,3.20427135265,236,VALID
