environment_class,elevation_band,cell_id,draw_index,excess_delay_samples,absolute_doppler_hz,relative_power_db
Urban,LOW,Urban__LOW,0,1.12199214468,59.3201671705,-1.22385749623
Urban,LOW,Urban__LOW,1,1.39719995023,36.1618175095,-3.6156511576
Urban,LOW,Urban__LOW,2,0.866231931926,51.6982603014,-3.06638422056
Urban,LOW,Urban__LOW,3,2.27931691732,46.1834826407,-4.8168644947
Urban,LOW,Urban__LOW,4,1.94240541138,40.67419954,-17.3778051946
Urban,LOW,Urban__LOW,5,0.881095941437,42.8776749793,0.35923308928
Urban,LOW,Urban__LOW,6,1.98193618688,67.3174923706,-14.217125985
Urban,LOW,Urban__LOW,7,1.65232314806,51.7619105363,-6.62894984369
Urban,LOW,Urban__LOW,8,1.19784749241,46.0644507085,-2.30697043577
Urban,LOW,Urban__LOW,9,1.30897633712,45.0442817153,-2.10804161319
Urban,LOW,Urban__LOW,10,1.35695592588,25.2132866462,-1.64675584208
Urban,LOW,Urban__LOW,11,1.32336283513,41.5170650028,-1.19523170987
Urban,LOW,Urban__LOW,12,1.23665803729,50.6369570562,-4.79988381258
Urban,LOW,Urban__LOW,13,1.90963288079,47.0748807273,-5.70032623114
Urban,LOW,Urban__LOW,14,1.42496718083,45.22160211,-2.12709536242
Urban,LOW,Urban__LOW,15,1.49568748845,50.3072114132,-5.66184631502
Urban,LOW,Urban__LOW,16,2.36145274948,28.2911543725,-10.7201518121
Urban,LOW,Urban__LOW,17,1.71227050422,9.1204182587,-1.5820581436
Urban,LOW,Urban__LOW,18,1.51445818537,46.9452992496,-5.45238319076
Urban,LOW,Urban__LOW,19,1.27965763951,47.8614137414,-4.71085043069
Urban,LOW,Urban__LOW,20,1.75281104057,48.0577912862,-3.56895043507
Urban,LOW,Urban__LOW,21,1.79466605047,84.066289906,-2.16072583065
Urban,LOW,Urban__LOW,22,2.14674977919,36.374929897,-13.8229853295
Urban,LOW,Urban__LOW,23,1.58894959669,46.2202452276,-2.83877833935
Urban,LOW,Urban__LOW,24,1.79157100801,50.0548491066,-12.6036589786
Urban,LOW,Urban__LOW,25,4.27704190107,83.7725487412,-14.0544930595
Urban,LOW,Urban__LOW,26,1.18898929698,48.6198988063,-1.83228257822
Urban,LOW,Urban__LOW,27,1.70294176195,43.5149167229,-3.70658988219
Urban,LOW,Urban__LOW,28,1.63082402438,34.6583493662,-9.30150137822
Urban,LOW,Urban__LOW,29,2.21617775523,14.5229348595,-1.16142824188
Urban,LOW,Urban__LOW,30,1.1010948013,45.3828652818,-2.88203293291
Urban,LOW,Urban__LOW,31,2.38783721218,50.8623405945,-15.2336822289
Urban,LOW,Urban__LOW,32,2.15165726507,46.2531442392,-5.77056308079
Urban,LOW,Urban__LOW,33,1.84918294137,41.4569354412,-2.44817512548
Urban,LOW,Urban__LOW,34,1.49776626846,37.923896556,-0.072160468546
Urban,LOW,Urban__LOW,35,1.94848483509,30.449238606,-16.8022312518
Urban,LOW,Urban__LOW,36,2.45316144022,46.0795223326,-3.17570942154
Urban,LOW,Urban__LOW,37,1.01346284342,44.5818075538,-1.61825112996
Urban,LOW,Urban__LOW,38,2.01025037295,47.5643440777,-5.21230475715
Urban,LOW,Urban__LOW,39,1.74141474474,47.2943770839,-4.3668173539
Urban,LOW,Urban__LOW,40,2.37696851337,40.9757493477,-13.8784081328
Urban,LOW,Urban__LOW,41,2.00360181494,96.6780201669,-14.5785600619
Urban,LOW,Urban__LOW,42,2.25745815749,39.2181781681,-13.902939439
Urban,LOW,Urban__LOW,43,3.40725386427,131.445875939,-13.9830712666
