candidate_index,component_count,pooling_kappa,replicate,weighted_nlpd,energy_score,nlpd_difference_from_best_k1,energy_difference_from_best_k1
0,1,4,0,4.33599670091,3.11948682111,0.000479572100259,-0.0283871589488
1,1,8,0,4.33578665647,3.14627868705,0.000269527652597,-0.00159529300156
2,1,16,0,4.33555980787,3.13957578731,4.26790583985e-05,-0.00829819273991
3,1,32,0,4.33551712881,3.14787398005,0,0
4,2,4,0,3.61597538657,2.99702175586,-0.71954174224,-0.150852224192
5,2,8,0,3.6103809506,2.97616768588,-0.72513617821,-0.171706294178
6,2,16,0,3.60434271257,3.0216348401,-0.731174416249,-0.126239139955
7,2,32,0,3.59951205339,3.02348486612,-0.736005075425,-0.124389113929
8,3,4,0,3.39326970284,2.97473960223,-0.942247425977,-0.173134377823
9,3,8,0,3.39269390939,2.96498852745,-0.942823219421,-0.182885452602
10,3,16,0,3.39687361711,3.02260970928,-0.938643511709,-0.125264270776
11,3,32,0,3.6541349454,3.01412491012,-0.681382183411,-0.133749069935
0,1,4,1,4.12523200949,3.23807790028,0.0105591940681,-0.00394083979143
1,1,8,1,4.1232151478,3.27250424878,0.00854233238091,0.0304855087013
2,1,16,1,4.11980258603,3.24384894999,0.00512977060351,0.00183020991463
3,1,32,1,4.11467281542,3.24201874007,0,0
4,2,4,1,3.46642220923,3.25106467291,-0.648250606191,0.00904593283381
5,2,8,1,3.46064754527,3.24236520046,-0.654025270157,0.0003464603871
6,2,16,1,3.45189861725,3.2479811015,-0.662774198172,0.00596236142437
7,2,32,1,3.4410417601,3.21323696273,-0.673631055318,-0.0287817773465
8,3,4,1,3.28974604031,3.23859602774,-0.824926775114,-0.0034227123397
9,3,8,1,3.26638056206,3.19167501269,-0.848292253365,-0.0503437273886
10,3,16,1,3.26114050359,3.20252807466,-0.853532311833,-0.039490665413
11,3,32,1,3.38063511777,3.1761056667,-0.734037697657,-0.0659130733783
0,1,4,2,4.19788520433,3.56740009344,0.0260317243578,0.010455038232
1,1,8,2,4.19330092559,3.61006463029,0.0214474456134,0.053119575089
2,1,16,2,4.18512321884,3.55155400234,0.0132697388604,-0.00539105286064
3,1,32,2,4.17185347998,3.55694505521,0,0
4,2,4,2,3.98827646937,3.91006867991,-0.18357701061,0.353123624708
5,2,8,2,3.96774335083,3.90835535136,-0.204110129144,0.351410296151
6,2,16,2,3.93871800091,3.82495609818,-0.233135479071,0.268011042974
7,2,32,2,3.90368982766,3.70984240218,-0.26816365232,0.152897346974
8,3,4,2,3.87100503984,3.92589558798,-0.300848440139,0.36895053277
9,3,8,2,3.78647356622,3.77601174979,-0.385379913758,0.219066694585
10,3,16,2,3.75767031367,3.68731296751,-0.414183166312,0.130367912305
11,3,32,2,3.82543054027,3.59403914509,-0.346422939707,0.0370940898825
0,1,4,3,3.6792763996,3.3027656277,-0.00132371269502,-0.0392509405052
1,1,8,3,3.67951245242,3.33419635757,-0.00108765987545,-0.00782021063255
2,1,16,3,3.67992949882,3.34302441254,-0.000670613476665,0.00100784434208
3,1,32,3,3.68060011229,3.3420165682,0,0
4,2,4,3,2.92207887711,3.16217003915,-0.758521235186,-0.179846529048
5,2,8,3,2.93120833399,3.12398154534,-0.749391778299,-0.218035022857
6,2,16,3,2.94144243101,3.19104572342,-0.739157681284,-0.150970844776
7,2,32,3,2.95132970596,3.20702636329,-0.729270406334,-0.134990204914
8,3,4,3,2.84087471058,3.0981895814,-0.839725401711,-0.243826986801
9,3,8,3,2.84927635556,3.13044548982,-0.831323756732,-0.211571078378
10,3,16,3,2.86113340291,3.20416196015,-0.819466709384,-0.137854608048
11,3,32,3,2.8684422579,3.19384247075,-0.812157854395,-0.148174097448
0,1,4,4,3.57285297398,3.19304168965,0.00649496872469,-0.00826407825746
1,1,8,4,3.57140790045,3.22504268149,0.00504989519216,0.0237369135814
2,1,16,4,3.56918448711,3.21883937771,0.00282648185038,0.0175336098032
3,1,32,4,3.56635800526,3.20130576791,0,0
4,2,4,4,2.67530481694,3.09524982371,-0.89105318832,-0.106055944204
5,2,8,4,2.6809994853,3.06648987357,-0.88535851996,-0.134815894345
6,2,16,4,2.6882070461,3.1044497391,-0.878150959157,-0.0968560288081
7,2,32,4,2.69602919725,3.11315637336,-0.870328808008,-0.0881493945482
8,3,4,4,2.51549220411,3.06524904012,-1.05086580115,-0.136056727789
9,3,8,4,2.52044086734,3.0749716623,-1.04591713791,-0.126334105611
10,3,16,4,2.52735641617,3.12512295811,-1.03900158908,-0.0761828097993
11,3,32,4,2.53549425713,3.10628851373,-1.03086374813,-0.0950172541854
0,1,4,5,4.17482285175,3.38518749003,0.0152727080843,0.00174012133008
1,1,8,5,4.17209318008,3.41979891279,0.0125430364079,0.0363515440869
2,1,16,5,4.16727109944,3.37535106254,0.00772095577046,-0.00809630616616
3,1,32,5,4.15955014367,3.3834473687,0,0
4,2,4,5,3.73262866711,3.53090131839,-0.426921476554,0.147453949686
5,2,8,5,3.72025671242,3.52624407623,-0.439293431244,0.142796707527
6,2,16,5,3.70269286331,3.49254948276,-0.456857280356,0.109102114056
7,2,32,5,3.68168549371,3.42785254196,-0.477864649963,0.0444051732609
8,3,4,5,3.61663967253,3.52317794376,-0.542910471135,0.139730575053
9,3,8,5,3.56769768894,3.43159926355,-0.591852454727,0.0481518948512
10,3,16,5,3.5528622493,3.40227487113,-0.606687894372,0.0188275024228
11,3,32,5,3.65638234385,3.35169864641,-0.503167799813,-0.0317487222949
0,1,4,6,4.19727858292,3.49270184238,0.0187706124947,-0.0120920612909
1,1,8,6,4.19400399327,3.53696966078,0.0154960228424,0.0321757571117
2,1,16,6,4.18812672416,3.49897439822,0.00961875373691,-0.00581950544625
3,1,32,6,4.17850797043,3.50479390367,0,0
4,2,4,6,3.8443019815,3.71911094236,-0.334205988924,0.214317038694
