candidate_index,component_count,pooling_kappa,held_out_scene,train_scene_count,test_row_count,test_weight,weighted_nlpd,energy_score,status
0,1,4,F1023_V70_D0117_P2,8,57,26,3.61782333077,3.07931616192,VALID
0,1,4,F1023_V70_D0117_P4,8,62,28,3.55513647934,2.94055770932,VALID
0,1,4,F1023_V70_D0120_P1,8,63,27,3.67429766602,3.26028271844,VALID
0,1,4,F1023_V70_D0120_P5,8,55,23,4.51680434252,3.01893273745,VALID
0,1,4,F1023_V70_D0120_P7,8,49,26,6.20322416481,3.15990981754,VALID
0,1,4,F1023_V70_D0120_P8,8,62,25,3.47041899042,3.59061421897,VALID
0,1,4,F1023_V70_D0122_P1,8,98,46,4.17309508507,3.76174200213,VALID
0,1,4,F1023_v50_D0127_P1,8,19,8,3.46047840454,3.7063621762,VALID
0,1,4,F1023_v90_D0117_P7,8,53,27,3.39632747484,2.8601634925,VALID
1,1,8,F1023_V70_D0117_P2,8,57,26,3.6191439863,3.05386695107,VALID
1,1,8,F1023_V70_D0117_P4,8,62,28,3.55475606873,2.93377898066,VALID
1,1,8,F1023_V70_D0120_P1,8,63,27,3.67452045415,3.28002348408,VALID
1,1,8,F1023_V70_D0120_P5,8,55,23,4.51681544253,3.08615364385,VALID
1,1,8,F1023_V70_D0120_P7,8,49,26,6.20390544304,3.1920198124,VALID
1,1,8,F1023_V70_D0120_P8,8,62,25,3.46998636342,3.66313121498,VALID
1,1,8,F1023_V70_D0122_P1,8,98,46,4.16655080771,3.81204161617,VALID
1,1,8,F1023_v50_D0127_P1,8,19,8,3.4604885895,3.79326735615,VALID
1,1,8,F1023_v90_D0117_P7,8,53,27,3.39249997532,2.85766711912,VALID
2,1,16,F1023_V70_D0117_P2,8,57,26,3.62139921468,3.06246265159,VALID
2,1,16,F1023_V70_D0117_P4,8,62,28,3.55438390851,2.95524881359,VALID
2,1,16,F1023_V70_D0120_P1,8,63,27,3.67495502262,3.27532487655,VALID
2,1,16,F1023_V70_D0120_P5,8,55,23,4.51683429326,3.05755061821,VALID
2,1,16,F1023_V70_D0120_P7,8,49,26,6.20514525662,3.17212130196,VALID
2,1,16,F1023_V70_D0120_P8,8,62,25,3.46923212648,3.69820802927,VALID
2,1,16,F1023_V70_D0122_P1,8,98,46,4.15472629385,3.74374578256,VALID
2,1,16,F1023_v50_D0127_P1,8,19,8,3.46053962072,3.64328553364,VALID
2,1,16,F1023_v90_D0117_P7,8,53,27,3.38661729599,2.8290519485,VALID
3,1,32,F1023_V70_D0117_P2,8,57,26,3.62479855731,3.05385257157,VALID
3,1,32,F1023_V70_D0117_P4,8,62,28,3.55440940027,2.97239077651,VALID
3,1,32,F1023_V70_D0120_P1,8,63,27,3.67576529628,3.30747334379,VALID
3,1,32,F1023_V70_D0120_P5,8,55,23,4.51686843094,3.07150065717,VALID
3,1,32,F1023_V70_D0120_P7,8,49,26,6.20723112236,3.20282563102,VALID
3,1,32,F1023_V70_D0120_P8,8,62,25,3.46805517399,3.66207516761,VALID
3,1,32,F1023_V70_D0122_P1,8,98,46,4.13519920376,3.74035077229,VALID
3,1,32,F1023_v50_D0127_P1,8,19,8,3.46071413735,3.70641677459,VALID
3,1,32,F1023_v90_D0117_P7,8,53,27,3.37915638975,2.80896882496,VALID
4,2,4,F1023_V70_D0117_P2,8,57,26,2.95010968189,3.06262905062,VALID
4,2,4,F1023_V70_D0117_P4,8,62,28,2.64652459589,2.95820318103,VALID
4,2,4,F1023_V70_D0120_P1,8,63,27,3.01686355145,3.05466669607,VALID
4,2,4,F1023_V70_D0120_P5,8,55,23,3.40504008235,2.69598452421,VALID
4,2,4,F1023_V70_D0120_P7,8,49,26,6.04792201324,3.08337530675,VALID
4,2,4,F1023_V70_D0120_P8,8,62,25,2.65216863456,3.49025229298,VALID
4,2,4,F1023_V70_D0122_P1,8,98,46,4.20764337978,4.34382192707,VALID
4,2,4,F1023_v50_D0127_P1,8,19,8,2.38801797843,3.57133549933,VALID
4,2,4,F1023_v90_D0117_P7,8,53,27,2.4296834687,2.80632848282,VALID
5,2,8,F1023_V70_D0117_P2,8,57,26,2.95472444372,2.9960683112,VALID
5,2,8,F1023_V70_D0117_P4,8,62,28,2.63709947855,2.94482163264,VALID
5,2,8,F1023_V70_D0120_P1,8,63,27,3.02086301774,3.05710723473,VALID
5,2,8,F1023_V70_D0120_P5,8,55,23,3.42026603767,2.75937678568,VALID
5,2,8,F1023_V70_D0120_P7,8,49,26,6.00584313068,3.01221976904,VALID
5,2,8,F1023_V70_D0120_P8,8,62,25,2.66809907701,3.39670443611,VALID
5,2,8,F1023_V70_D0122_P1,8,98,46,4.18213317165,4.34764233125,VALID
5,2,8,F1023_v50_D0127_P1,8,19,8,2.39411825325,3.58737580229,VALID
5,2,8,F1023_v90_D0117_P7,8,53,27,2.42350073041,2.81909952816,VALID
6,2,16,F1023_V70_D0117_P2,8,57,26,2.96270670238,3.04492270407,VALID
6,2,16,F1023_V70_D0117_P4,8,62,28,2.63123006265,2.90090744871,VALID
6,2,16,F1023_V70_D0120_P1,8,63,27,3.02552625906,3.10487778501,VALID
6,2,16,F1023_V70_D0120_P5,8,55,23,3.42873088537,2.83968928494,VALID
6,2,16,F1023_V70_D0120_P7,8,49,26,5.96142975249,3.08117789111,VALID
6,2,16,F1023_V70_D0120_P8,8,62,25,2.68645354256,3.4931683648,VALID
6,2,16,F1023_V70_D0122_P1,8,98,46,4.14341322037,4.21450352104,VALID
6,2,16,F1023_v50_D0127_P1,8,19,8,2.40217437343,3.49877198887,VALID
6,2,16,F1023_v90_D0117_P7,8,53,27,2.41969759894,2.79986601603,VALID
7,2,32,F1023_V70_D0117_P2,8,57,26,2.97432203305,2.99932568092,VALID
7,2,32,F1023_V70_D0117_P4,8,62,28,2.63341077826,2.90514076085,VALID
7,2,32,F1023_V70_D0120_P1,8,63,27,3.03079509139,3.14687161595,VALID
7,2,32,F1023_V70_D0120_P5,8,55,23,3.42749913183,2.86408164571,VALID
7,2,32,F1023_V70_D0120_P7,8,49,26,5.92289961132,3.05885257875,VALID
7,2,32,F1023_V70_D0120_P8,8,62,25,2.70354045231,3.52116901024,VALID
7,2,32,F1023_V70_D0122_P1,8,98,46,4.09389720247,4.02403441,VALID
