stage3_path_id,stage3_center_id,run_id,logical_run_key,scene_id,prn,center_window_id,center_recording_time_s,selected_L,multipath_id,excess_delay_samples,doppler_offset_hz,relative_power_db,matched_window_count,longest_consecutive_count,persistence_pass,match_pattern,persistence_radius_windows,support_window_ids,support_window_count_derived,association_parse_status,environment_class,elevation_deg,elevation_band,geometry_join_status,geometry_join_valid,track_id,track_observation_count,track_weight,elevation_ready,quality_status,doppler_provenance_class,primary_exclusion_reason,sensitivity_exclusion_reason,author_gate_id,primary_population_included,sensitivity_population_included,track_weight_fixed_original,track_weight_recomputed_primary,track_weight_recomputed_sensitivity,absolute_doppler_hz,log_excess_delay,log1p_absolute_doppler,cell_id,cell_ready,parent_scope_role
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_317__mp_1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_317,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,G11,317,44.1387458455523,3,1,1.8,-50.3356979047153,-5.24268676425022,3,3,1,01110,2,316;317;318,3,VALID,Mountain/Valley,31,MID,valid,1,ALGTRACK_0001,1,1.0,1,PRIMARY_ADMITTED_SENSITIVITY_EXCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,EXACT_FOUR_REPEATED_DOPPLER_MODE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,0,1.0,1,,50.3356979047153,0.5877866649021191,3.938386375763518,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_317__mp_2,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_317,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,G11,317,44.1387458455523,3,2,2.8,99.6643020952847,-14.6746129362091,3,3,1,01110,2,316;317;318,3,VALID,Mountain/Valley,31,MID,valid,1,ALGTRACK_0002,1,1.0,1,PRIMARY_ADMITTED_SENSITIVITY_EXCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,EXACT_FOUR_REPEATED_DOPPLER_MODE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,0,1.0,1,,99.6643020952847,1.0296194171811581,4.611791239311198,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_640__mp_1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_640,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,G11,640,50.598761485826,3,1,1.5,-45.0131071441147,-0.524608582481407,3,3,1,00111,2,640;641;642,3,VALID,Mountain/Valley,31,MID,valid,1,ALGTRACK_0003,4,0.25,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,FINE_GRID_QUANTIZED_VALID,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.25,0.25,0.25,45.0131071441147,0.4054651081081644,3.828926293817534,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_640__mp_2,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_640,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,G11,640,50.598761485826,3,2,2.5,-90.0131071441147,-11.3611185658663,3,3,1,00111,2,640;641;642,3,VALID,Mountain/Valley,31,MID,valid,1,ALGTRACK_0004,4,0.25,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.25,0.25,0.25,90.0131071441147,0.9162907318741551,4.511003530695581,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_641__mp_1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_641,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,G11,641,50.6187615835777,3,1,1.2,-45.0563619249897,-0.71960391848256,4,4,1,01111,2,640;641;642;643,4,VALID,Mountain/Valley,31,MID,valid,1,ALGTRACK_0003,4,0.25,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,FINE_GRID_QUANTIZED_VALID,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.25,0.25,0.25,45.0563619249897,0.1823215567939546,3.8298659057104816,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_641__mp_2,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_641,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,G11,641,50.6187615835777,3,2,2.2,-95.0563619249897,-12.347430453551,4,4,1,01111,2,640;641;642;643,4,VALID,Mountain/Valley,31,MID,valid,1,ALGTRACK_0004,4,0.25,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,FINE_GRID_QUANTIZED_VALID,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.25,0.25,0.25,95.0563619249897,0.7884573603642703,4.564935122575379,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_642__mp_1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_642,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,G11,642,50.6387615835777,3,1,1.9,-45.0996167056128,-1.76705666840904,4,4,1,11110,2,640;641;642;643,4,VALID,Mountain/Valley,31,MID,valid,1,ALGTRACK_0003,4,0.25,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,FINE_GRID_QUANTIZED_VALID,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.25,0.25,0.25,45.0996167056128,0.6418538861723947,3.8308046355561682,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_642__mp_2,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_642,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,G11,642,50.6387615835777,3,2,2.9,-90.0996167056128,-12.6099973526779,4,4,1,11110,2,640;641;642;643,4,VALID,Mountain/Valley,31,MID,valid,1,ALGTRACK_0004,4,0.25,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.25,0.25,0.25,90.0996167056128,1.0647107369924282,4.511953596854348,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_643__mp_1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_643,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,G11,643,50.6587616813294,3,1,1.1,-45.1428714864874,-0.483723456558375,3,3,1,11100,2,641;642;643,3,VALID,Mountain/Valley,31,MID,valid,1,ALGTRACK_0003,4,0.25,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,FINE_GRID_QUANTIZED_VALID,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.25,0.25,0.25,45.1428714864874,0.09531017980432493,3.831742485019963,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_643__mp_2,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_643,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,G11,643,50.6587616813294,3,2,2.1,-90.1428714864874,-11.0589366989101,3,3,1,11100,2,641;642;643,3,VALID,Mountain/Valley,31,MID,valid,1,ALGTRACK_0004,4,0.25,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,0.25,0.25,0.25,90.1428714864874,0.7419373447293773,4.512428291664718,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_730__mp_1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_730,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,G11,730,52.398765884653,3,1,1.6,54.1572297690009,-10.5281244101325,3,3,1,00111,2,730;731;732,3,VALID,Mountain/Valley,31,MID,valid,1,ALGTRACK_0005,1,1.0,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,1.0,1,1,54.1572297690009,0.47000362924573563,4.010187829927198,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_730__mp_2,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_730,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,G11,730,52.398765884653,3,2,2.6,-45.8427702309991,-12.7081716581542,3,3,1,00111,2,730;731;732,3,VALID,Mountain/Valley,31,MID,valid,1,ALGTRACK_0006,1,1.0,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,1.0,1,1,45.8427702309991,0.9555114450274363,3.846796679401661,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_769__mp_1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__center_769,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2__G11__ch5__nav_sage_v2,F1023_V70_D0117_P2,G11,769,53.1787677419355,2,1,1.4,-48.7851766972208,-5.49702832783214,4,4,1,01111,2,768;769;770;771,4,VALID,Mountain/Valley,31,MID,valid,1,ALGTRACK_0007,1,1.0,1,PRIMARY_ADMITTED_SENSITIVITY_INCLUDED,COARSE_GRID_LOCK_CANDIDATE,NONE,NONE,AUTHOR_APPROVED_KEEP_FULL_PRIMARY_20260831,1,1,1.0,1,1,48.7851766972208,0.3364722366212129,3.907717283039751,Mountain/Valley__MID,1,CELL_AND_ENVIRONMENT
