"scene_id","source_path","destination_path","file_count","total_size"
"F1023_V120_D0121_P2","E:\GNSS_Multipath_Project\full_parse_v1\F1023_V120_D0121_P2","E:\GNSS_Multipath_Project\scenes\F1023_V120_D0121_P2\gnss_sdr","67","172823967"
"F1023_v50_D0127_P1","E:\GNSS_Multipath_Project\full_parse_v1\F1023_v50_D0127_P1","E:\GNSS_Multipath_Project\scenes\F1023_v50_D0127_P1\gnss_sdr","57","40237442"
"F1023_V70_D0117_P4","E:\GNSS_Multipath_Project\full_parse_v1\F1023_V70_D0117_P4","E:\GNSS_Multipath_Project\scenes\F1023_V70_D0117_P4\gnss_sdr","61","37431536"
"F1023_V70_D0120_P1","E:\GNSS_Multipath_Project\full_parse_v1\F1023_V70_D0120_P1","E:\GNSS_Multipath_Project\scenes\F1023_V70_D0120_P1\gnss_sdr","57","35383361"
"F1023_V70_D0120_P5","E:\GNSS_Multipath_Project\full_parse_v1\F1023_V70_D0120_P5","E:\GNSS_Multipath_Project\scenes\F1023_V70_D0120_P5\gnss_sdr","57","36655292"
"F1023_V70_D0120_P7","E:\GNSS_Multipath_Project\full_parse_v1\F1023_V70_D0120_P7","E:\GNSS_Multipath_Project\scenes\F1023_V70_D0120_P7\gnss_sdr","55","27494628"
"F1023_V70_D0120_P8","E:\GNSS_Multipath_Project\full_parse_v1\F1023_V70_D0120_P8","E:\GNSS_Multipath_Project\scenes\F1023_V70_D0120_P8\gnss_sdr","55","19292821"
"F1023_V70_D0120_P9","E:\GNSS_Multipath_Project\full_parse_v1\F1023_V70_D0120_P9","E:\GNSS_Multipath_Project\scenes\F1023_V70_D0120_P9\gnss_sdr","65","22721101"
"F1023_V70_D0122_P1","E:\GNSS_Multipath_Project\full_parse_v1\F1023_V70_D0122_P1","E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P1\gnss_sdr","65","29317128"
"F1023_V70_D0122_P2","E:\GNSS_Multipath_Project\full_parse_v1\F1023_V70_D0122_P2","E:\GNSS_Multipath_Project\scenes\F1023_V70_D0122_P2\gnss_sdr","61","62236043"
"F1023_V80_D0117_P8","E:\GNSS_Multipath_Project\full_parse_v1\F1023_V80_D0117_P8","E:\GNSS_Multipath_Project\scenes\F1023_V80_D0117_P8\gnss_sdr","59","22771096"
"F1023_v90_D0117_P7","E:\GNSS_Multipath_Project\full_parse_v1\F1023_v90_D0117_P7","E:\GNSS_Multipath_Project\scenes\F1023_v90_D0117_P7\gnss_sdr","59","28601599"
"F2046_V30_D0131_P2","E:\GNSS_Multipath_Project\full_parse_v1\F2046_V30_D0131_P2","E:\GNSS_Multipath_Project\scenes\F2046_V30_D0131_P2\gnss_sdr","61","22559979"
"F2046_V30_D0131_P4","E:\GNSS_Multipath_Project\full_parse_v1\F2046_V30_D0131_P4","E:\GNSS_Multipath_Project\scenes\F2046_V30_D0131_P4\gnss_sdr","63","32290104"
"F2046_V30_D0203_P2","E:\GNSS_Multipath_Project\full_parse_v1\F2046_V30_D0203_P2","E:\GNSS_Multipath_Project\scenes\F2046_V30_D0203_P2\gnss_sdr","61","26084876"
"F2046_V60_D0129_P1","E:\GNSS_Multipath_Project\full_parse_v1\F2046_V60_D0129_P1","E:\GNSS_Multipath_Project\scenes\F2046_V60_D0129_P1\gnss_sdr","59","17057506"
"F2046_V60_D0129_P3","E:\GNSS_Multipath_Project\full_parse_v1\F2046_V60_D0129_P3","E:\GNSS_Multipath_Project\scenes\F2046_V60_D0129_P3\gnss_sdr","63","21185746"
"F2046_V60_D0202_P1","E:\GNSS_Multipath_Project\full_parse_v1\F2046_V60_D0202_P1","E:\GNSS_Multipath_Project\scenes\F2046_V60_D0202_P1\gnss_sdr","57","24510268"
